Ημερομηνία,NO (ppb),"NO (ppb)
x","NO (ppb)
2","NO (μg/m3)
2","Οριακή
τιμή
(μg/m3)"
1/8/2024 0:00,2.470,21.470,19.010,35.739,200
1/8/2024 1:00,0.430,10.400,9.970,18.744,200
1/8/2024 2:00,0.500,13.340,12.830,24.120,200
1/8/2024 3:00,0.690,10.180,9.490,17.841,200
1/8/2024 4:00,0.230,10.690,10.460,19.665,200
1/8/2024 5:00,0.150,15.920,15.770,29.648,200
1/8/2024 6:00,3.730,24.840,21.110,39.687,200
1/8/2024 7:00,41.020,74.400,33.380,62.754,200
1/8/2024 8:00,43.910,83.140,39.230,73.752,200
1/8/2024 9:00,18.730,53.950,35.230,66.232,200
1/8/2024 10:00,9.710,30.320,20.620,38.766,200
1/8/2024 11:00,2.580,9.560,6.980,13.122,200
1/8/2024 12:00,2.450,8.730,6.280,11.806,200
1/8/2024 13:00,1.510,5.020,3.510,6.599,200
1/8/2024 14:00,0.780,2.870,2.090,3.929,200
1/8/2024 15:00,0.900,4.380,3.480,6.542,200
1/8/2024 16:00,1.230,5.480,4.260,8.009,200
1/8/2024 17:00,0.620,2.240,1.610,3.027,200
1/8/2024 18:00,0.150,1.300,1.140,2.143,200
1/8/2024 19:00,0.200,1.610,1.420,2.670,200
1/8/2024 20:00,0.380,2.500,2.130,4.004,200
1/8/2024 21:00,0.190,5.400,5.220,9.814,200
1/8/2024 22:00,0.060,6.610,6.550,12.314,200
1/8/2024 23:00,0.890,15.950,15.070,28.332,200
2/8/2024 0:00,0.220,8.840,8.610,16.187,200
2/8/2024 1:00,1.410,20.040,18.630,35.024,200
2/8/2024 2:00,1.210,18.930,17.720,33.314,200
2/8/2024 3:00,0.410,19.360,18.950,35.626,200
2/8/2024 4:00,0.320,18.460,18.150,34.122,200
2/8/2024 5:00,1.740,29.770,28.030,52.696,200
2/8/2024 6:00,13.810,52.660,38.840,73.019,200
2/8/2024 7:00,52.880,91.120,38.240,71.891,200
2/8/2024 8:00,44.030,86.010,41.980,78.922,200
2/8/2024 9:00,26.880,68.570,41.690,78.377,200
Ημερομηνία,NO (ppb),"NO (ppb)
x","NO (ppb)
2","NO (μg/m3)
2","Οριακή
τιμή
(μg/m3)"
2/8/2024 10:00,11.100,34.930,23.820,44.782,200
2/8/2024 11:00,2.560,11.590,9.040,16.995,200
2/8/2024 12:00,1.980,8.160,6.180,11.618,200
2/8/2024 13:00,6.370,20.070,13.700,25.756,200
2/8/2024 14:00,3.950,12.640,8.690,16.337,200
2/8/2024 15:00,4.020,13.920,9.890,18.593,200
2/8/2024 16:00,1.580,6.360,4.780,8.986,200
2/8/2024 17:00,0.860,3.730,2.870,5.396,200
2/8/2024 18:00,0.520,2.480,1.960,3.685,200
2/8/2024 19:00,0.130,1.460,1.330,2.500,200
2/8/2024 20:00,0.240,3.760,3.520,6.618,200
2/8/2024 21:00,0.580,7.300,6.720,12.634,200
2/8/2024 22:00,0.100,4.230,4.140,7.783,200
2/8/2024 23:00,0.110,6.110,6.010,11.299,200
3/8/2024 0:00,0.260,14.040,13.790,25.925,200
3/8/2024 1:00,1.120,27.130,26.010,48.899,200
3/8/2024 2:00,0.150,17.690,17.530,32.956,200
3/8/2024 3:00,0.290,17.330,17.040,32.035,200
3/8/2024 4:00,1.060,22.970,21.910,41.191,200
3/8/2024 5:00,0.610,12.560,11.950,22.466,200
3/8/2024 6:00,1.460,22.710,21.250,39.950,200
3/8/2024 7:00,9.650,37.380,27.730,52.132,200
3/8/2024 8:00,2.730,15.530,12.800,24.064,200
3/8/2024 9:00,2.360,12.390,10.030,18.856,200
3/8/2024 10:00,3.940,16.340,12.400,23.312,200
3/8/2024 11:00,1.220,7.270,6.050,11.374,200
3/8/2024 12:00,0.820,7.340,6.520,12.258,200
3/8/2024 13:00,1.200,6.930,5.720,10.754,200
3/8/2024 14:00,0.890,4.820,3.930,7.388,200
3/8/2024 15:00,0.670,3.820,3.150,5.922,200
3/8/2024 16:00,0.530,3.370,2.840,5.339,200
3/8/2024 17:00,0.280,3.000,2.730,5.132,200
3/8/2024 18:00,0.430,3.320,2.890,5.433,200
3/8/2024 19:00,0.250,4.260,4.010,7.539,200
3/8/2024 20:00,0.120,5.820,5.700,10.716,200
3/8/2024 21:00,0.240,14.420,14.180,26.658,200
3/8/2024 22:00,0.280,16.300,16.020,30.118,200
3/8/2024 23:00,0.400,21.850,21.450,40.326,200
4/8/2024 0:00,0.240,17.170,16.930,31.828,200
Ημερομηνία,NO (ppb),"NO (ppb)
x","NO (ppb)
2","NO (μg/m3)
2","Οριακή
τιμή
(μg/m3)"
4/8/2024 1:00,0.400,16.520,16.120,30.306,200
4/8/2024 2:00,0.190,9.050,8.860,16.657,200
4/8/2024 3:00,0.280,5.880,5.600,10.528,200
4/8/2024 4:00,0.140,3.670,3.530,6.636,200
4/8/2024 5:00,0.100,3.340,3.240,6.091,200
4/8/2024 6:00,-0.070,3.360,3.430,6.448,200
4/8/2024 7:00,0.020,3.880,3.850,7.238,200
4/8/2024 8:00,0.390,5.550,5.170,9.720,200
4/8/2024 9:00,0.710,7.480,6.770,12.728,200
4/8/2024 10:00,1.100,7.460,6.360,11.957,200
4/8/2024 11:00,1.510,7.680,6.180,11.618,200
4/8/2024 12:00,0.880,5.710,4.830,9.080,200
4/8/2024 13:00,0.360,3.200,2.840,5.339,200
4/8/2024 14:00,0.410,3.230,2.820,5.302,200
4/8/2024 15:00,0.450,3.430,2.980,5.602,200
4/8/2024 16:00,0.210,2.770,2.560,4.813,200
4/8/2024 17:00,0.180,2.850,2.670,5.020,200
4/8/2024 18:00,0.210,3.240,3.030,5.696,200
4/8/2024 19:00,0.290,5.720,5.420,10.190,200
4/8/2024 20:00,0.080,8.390,8.310,15.623,200
4/8/2024 21:00,0.050,5.620,5.570,10.472,200
4/8/2024 22:00,0.190,9.100,8.910,16.751,200
4/8/2024 23:00,0.150,7.470,7.330,13.780,200
5/8/2024 0:00,0.420,10.330,9.910,18.631,200
5/8/2024 1:00,0.330,9.840,9.500,17.860,200
5/8/2024 2:00,0.160,7.370,7.220,13.574,200
5/8/2024 3:00,0.120,6.700,6.570,12.352,200
5/8/2024 4:00,0.250,6.760,6.510,12.239,200
5/8/2024 5:00,0.240,5.820,5.580,10.490,200
5/8/2024 6:00,0.350,6.760,6.410,12.051,200
5/8/2024 7:00,0.770,12.860,12.090,22.729,200
5/8/2024 8:00,3.670,20.810,17.140,32.223,200
5/8/2024 9:00,2.700,12.120,9.420,17.710,200
5/8/2024 10:00,3.490,15.940,12.440,23.387,200
5/8/2024 11:00,2.270,9.790,7.520,14.138,200
5/8/2024 12:00,1.900,7.710,5.810,10.923,200
5/8/2024 13:00,2.460,12.540,10.080,18.950,200
5/8/2024 14:00,2.990,11.950,8.960,16.845,200
5/8/2024 15:00,5.080,19.620,14.540,27.335,200
Ημερομηνία,NO (ppb),"NO (ppb)
x","NO (ppb)
2","NO (μg/m3)
2","Οριακή
τιμή
(μg/m3)"
5/8/2024 16:00,3.650,15.500,11.850,22.278,200
5/8/2024 17:00,0.360,3.030,2.670,5.020,200
5/8/2024 18:00,0.150,1.520,1.370,2.576,200
5/8/2024 19:00,0.270,2.830,2.560,4.813,200
5/8/2024 20:00,0.340,3.540,3.200,6.016,200
5/8/2024 21:00,0.180,2.050,1.870,3.516,200
5/8/2024 22:00,0.190,4.520,4.330,8.140,200
5/8/2024 23:00,0.080,6.620,6.530,12.276,200
6/8/2024 0:00,0.110,5.310,5.200,9.776,200
6/8/2024 1:00,0.180,12.920,12.730,23.932,200
6/8/2024 2:00,0.200,10.660,10.450,19.646,200
6/8/2024 3:00,0.220,10.420,10.200,19.176,200
6/8/2024 4:00,0.210,12.290,12.080,22.710,200
6/8/2024 5:00,0.020,14.330,14.310,26.903,200
6/8/2024 6:00,4.010,37.270,33.260,62.529,200
6/8/2024 7:00,18.210,55.630,37.420,70.350,200
6/8/2024 8:00,19.800,49.700,29.900,56.212,200
6/8/2024 9:00,15.870,45.260,29.400,55.272,200
6/8/2024 10:00,7.410,26.220,18.810,35.363,200
6/8/2024 11:00,3.890,12.680,8.790,16.525,200
6/8/2024 12:00,1.700,10.500,8.800,16.544,200
6/8/2024 13:00,2.190,8.600,6.410,12.051,200
6/8/2024 14:00,2.410,13.050,10.640,20.003,200
6/8/2024 15:00,1.450,7.280,5.830,10.960,200
6/8/2024 16:00,1.360,6.670,5.310,9.983,200
6/8/2024 17:00,2.060,8.290,6.230,11.712,200
6/8/2024 18:00,1.080,10.140,9.060,17.033,200
6/8/2024 19:00,1.440,13.090,11.650,21.902,200
6/8/2024 20:00,0.450,4.060,3.610,6.787,200
6/8/2024 21:00,0.380,10.930,10.550,19.834,200
6/8/2024 22:00,0.220,14.570,14.350,26.978,200
6/8/2024 23:00,0.300,12.340,12.030,22.616,200
7/8/2024 0:00,0.180,14.150,13.980,26.282,200
7/8/2024 1:00,0.310,9.860,9.550,17.954,200
7/8/2024 2:00,0.320,9.070,8.750,16.450,200
7/8/2024 3:00,0.260,3.970,3.710,6.975,200
7/8/2024 4:00,0.190,5.540,5.350,10.058,200
7/8/2024 5:00,0.330,12.030,11.700,21.996,200
7/8/2024 6:00,0.630,9.750,9.120,17.146,200
Ημερομηνία,NO (ppb),"NO (ppb)
x","NO (ppb)
2","NO (μg/m3)
2","Οριακή
τιμή
(μg/m3)"
7/8/2024 7:00,1.800,17.610,15.810,29.723,200
7/8/2024 8:00,2.360,15.880,13.520,25.418,200
7/8/2024 9:00,3.800,18.290,14.490,27.241,200
7/8/2024 10:00,3.560,14.180,10.620,19.966,200
7/8/2024 11:00,1.540,7.040,5.500,10.340,200
7/8/2024 12:00,3.770,13.140,9.370,17.616,200
7/8/2024 13:00,1.370,6.340,4.980,9.362,200
7/8/2024 14:00,2.290,8.870,6.580,12.370,200
7/8/2024 15:00,0.980,4.090,3.110,5.847,200
7/8/2024 16:00,0.420,2.290,1.870,3.516,200
7/8/2024 17:00,1.260,4.700,3.440,6.467,200
7/8/2024 18:00,2.410,8.960,6.550,12.314,200
7/8/2024 19:00,1.360,6.860,5.500,10.340,200
7/8/2024 20:00,0.840,4.770,3.930,7.388,200
7/8/2024 21:00,0.510,5.170,4.660,8.761,200
7/8/2024 22:00,0.160,4.530,4.370,8.216,200
7/8/2024 23:00,0.100,4.220,4.110,7.727,200
8/8/2024 0:00,0.260,4.100,3.840,7.219,200
8/8/2024 1:00,0.260,10.080,9.820,18.462,200
8/8/2024 2:00,0.190,9.540,9.350,17.578,200
8/8/2024 3:00,-0.030,9.090,9.120,17.146,200
8/8/2024 4:00,0.240,11.400,11.160,20.981,200
8/8/2024 5:00,0.150,11.480,11.320,21.282,200
8/8/2024 6:00,1.230,18.940,17.710,33.295,200
8/8/2024 7:00,10.700,29.630,18.940,35.607,200
8/8/2024 8:00,8.570,28.210,19.630,36.904,200
8/8/2024 9:00,4.840,17.920,13.080,24.590,200
8/8/2024 10:00,2.220,7.580,5.360,10.077,200
8/8/2024 11:00,2.240,9.230,6.990,13.141,200
8/8/2024 12:00,0.920,3.580,2.660,5.001,200
8/8/2024 13:00,1.910,8.600,6.690,12.577,200
8/8/2024 14:00,1.590,5.880,4.290,8.065,200
8/8/2024 15:00,1.590,7.870,6.280,11.806,200
8/8/2024 16:00,1.680,6.310,4.630,8.704,200
8/8/2024 17:00,0.850,3.710,2.870,5.396,200
8/8/2024 18:00,2.040,10.970,8.920,16.770,200
8/8/2024 19:00,1.590,9.230,7.640,14.363,200
8/8/2024 20:00,0.780,5.600,4.820,9.062,200
8/8/2024 21:00,13.590,28.340,14.750,27.730,200
Ημερομηνία,NO (ppb),"NO (ppb)
x","NO (ppb)
2","NO (μg/m3)
2","Οριακή
τιμή
(μg/m3)"
8/8/2024 22:00,56.230,90.320,34.090,64.089,200
8/8/2024 23:00,0.340,11.300,10.960,20.605,200
9/8/2024 0:00,0.100,7.350,7.260,13.649,200
9/8/2024 1:00,7.060,24.200,17.140,32.223,200
9/8/2024 2:00,0.270,11.650,11.380,21.394,200
9/8/2024 3:00,0.230,12.170,11.940,22.447,200
9/8/2024 4:00,0.340,11.380,11.040,20.755,200
9/8/2024 5:00,0.270,12.120,11.850,22.278,200
9/8/2024 6:00,6.390,26.260,19.870,37.356,200
9/8/2024 7:00,21.720,48.900,27.180,51.098,200
9/8/2024 8:00,8.650,27.070,18.420,34.630,200
9/8/2024 9:00,13.100,36.410,23.300,43.804,200
9/8/2024 10:00,6.310,23.110,16.810,31.603,200
9/8/2024 11:00,4.260,15.820,11.560,21.733,200
9/8/2024 12:00,1.500,5.900,4.400,8.272,200
9/8/2024 13:00,4.010,12.760,8.750,16.450,200
9/8/2024 14:00,3.620,13.010,9.380,17.634,200
9/8/2024 15:00,2.390,9.370,6.980,13.122,200
9/8/2024 16:00,4.860,16.280,11.420,21.470,200
9/8/2024 17:00,3.580,12.490,8.910,16.751,200
9/8/2024 18:00,1.150,7.670,6.510,12.239,200
9/8/2024 19:00,0.900,10.250,9.360,17.597,200
9/8/2024 20:00,0.980,15.310,14.330,26.940,200
9/8/2024 21:00,1.800,15.830,14.020,26.358,200
9/8/2024 22:00,-0.020,6.660,6.680,12.558,200
9/8/2024 23:00,0.200,6.920,6.720,12.634,200
10/8/2024 0:00,0.750,10.390,9.640,18.123,200
10/8/2024 1:00,0.630,9.120,8.490,15.961,200
10/8/2024 2:00,0.230,7.570,7.350,13.818,200
10/8/2024 3:00,0.010,7.780,7.770,14.608,200
10/8/2024 4:00,0.600,16.530,15.920,29.930,200
10/8/2024 5:00,0.860,18.580,17.720,33.314,200
10/8/2024 6:00,1.450,18.620,17.160,32.261,200
10/8/2024 7:00,1.110,11.700,10.590,19.909,200
10/8/2024 8:00,1.750,13.170,11.420,21.470,200
10/8/2024 9:00,2.880,14.330,11.450,21.526,200
10/8/2024 10:00,2.150,8.210,6.060,11.393,200
10/8/2024 11:00,1.720,6.440,4.710,8.855,200
10/8/2024 12:00,1.400,6.260,4.860,9.137,200
Ημερομηνία,NO (ppb),"NO (ppb)
x","NO (ppb)
2","NO (μg/m3)
2","Οριακή
τιμή
(μg/m3)"
10/8/2024 13:00,1.360,5.840,4.470,8.404,200
10/8/2024 14:00,1.060,4.520,3.470,6.524,200
10/8/2024 15:00,1.020,6.090,5.070,9.532,200
10/8/2024 16:00,0.600,3.750,3.150,5.922,200
10/8/2024 17:00,0.410,3.290,2.880,5.414,200
10/8/2024 18:00,0.700,5.930,5.230,9.832,200
10/8/2024 19:00,0.670,6.600,5.930,11.148,200
10/8/2024 20:00,0.490,6.810,6.320,11.882,200
10/8/2024 21:00,0.360,8.190,7.830,14.720,200
10/8/2024 22:00,0.200,10.390,10.180,19.138,200
10/8/2024 23:00,1.390,18.930,17.540,32.975,200
11/8/2024 0:00,2.540,38.530,35.990,67.661,200
11/8/2024 1:00,66.760,100.250,33.480,62.942,200
11/8/2024 2:00,0.620,14.820,14.200,26.696,200
11/8/2024 3:00,0.200,12.940,12.740,23.951,200
11/8/2024 4:00,0.030,11.210,11.180,21.018,200
11/8/2024 5:00,0.280,12.190,11.920,22.410,200
11/8/2024 6:00,0.270,15.540,15.270,28.708,200
11/8/2024 7:00,6.300,24.500,18.200,34.216,200
11/8/2024 8:00,30.970,57.580,26.610,50.027,200
11/8/2024 9:00,5.180,19.970,14.790,27.805,200
11/8/2024 10:00,3.720,13.940,10.220,19.214,200
11/8/2024 11:00,2.010,11.510,9.500,17.860,200
11/8/2024 12:00,2.480,11.230,8.750,16.450,200
11/8/2024 13:00,1.410,7.820,6.410,12.051,200
11/8/2024 14:00,2.260,12.230,9.970,18.744,200
11/8/2024 15:00,2.800,14.280,11.480,21.582,200
11/8/2024 16:00,2.420,11.240,8.820,16.582,200
11/8/2024 17:00,1.790,10.550,8.760,16.469,200
11/8/2024 18:00,9.040,27.350,18.310,34.423,200
11/8/2024 19:00,0.760,9.020,8.260,15.529,200
11/8/2024 20:00,0.530,10.070,9.540,17.935,200
11/8/2024 21:00,0.230,10.270,10.040,18.875,200
11/8/2024 22:00,0.290,10.910,10.620,19.966,200
11/8/2024 23:00,0.200,16.250,16.050,30.174,200
12/8/2024 0:00,0.480,17.450,16.970,31.904,200
12/8/2024 1:00,0.270,10.910,10.650,20.022,200
12/8/2024 2:00,0.180,9.530,9.350,17.578,200
12/8/2024 3:00,0.180,6.920,6.740,12.671,200
Ημερομηνία,NO (ppb),"NO (ppb)
x","NO (ppb)
2","NO (μg/m3)
2","Οριακή
τιμή
(μg/m3)"
12/8/2024 4:00,0.380,8.480,8.100,15.228,200
12/8/2024 5:00,1.280,24.510,23.230,43.672,200
12/8/2024 6:00,5.730,30.770,25.040,47.075,200
12/8/2024 7:00,8.520,34.860,26.340,49.519,200
12/8/2024 8:00,16.030,48.700,32.670,61.420,200
12/8/2024 9:00,21.690,54.620,32.930,61.908,200
12/8/2024 10:00,12.430,40.970,28.540,53.655,200
12/8/2024 11:00,5.490,22.190,16.710,31.415,200
12/8/2024 12:00,7.310,26.560,19.250,36.190,200
12/8/2024 13:00,2.840,11.510,8.670,16.300,200
12/8/2024 14:00,2.580,11.520,8.950,16.826,200
12/8/2024 15:00,1.620,8.090,6.470,12.164,200
