Ημερομηνία,"SO (ppb)2","SO (μg/m3)2",Οριακή τιμή (μg/m3)
1/4/2024 0:00,0.282,0.739,350
1/4/2024 1:00,0.347,0.909,350
1/4/2024 2:00,0.323,0.846,350
1/4/2024 3:00,0.176,0.461,350
1/4/2024 4:00,0.066,0.173,350
1/4/2024 5:00,0.108,0.283,350
1/4/2024 6:00,0.037,0.097,350
1/4/2024 7:00,0.038,0.100,350
1/4/2024 8:00,0.244,0.639,350
1/4/2024 9:00,0.178,0.466,350
1/4/2024 10:00,0.132,0.346,350
1/4/2024 11:00,0.026,0.068,350
1/4/2024 12:00,0.029,0.076,350
1/4/2024 13:00,0.050,0.131,350
1/4/2024 14:00,0.000,0.000,350
1/4/2024 15:00,0.049,0.128,350
1/4/2024 16:00,0.024,0.063,350
1/4/2024 17:00,0.014,0.037,350
1/4/2024 18:00,0.055,0.144,350
1/4/2024 19:00,0.071,0.186,350
1/4/2024 20:00,0.003,0.008,350
1/4/2024 21:00,0.022,0.058,350
1/4/2024 22:00,0.049,0.128,350
1/4/2024 23:00,0.093,0.244,350
2/4/2024 0:00,0.108,0.283,350
2/4/2024 1:00,0.082,0.215,350
2/4/2024 2:00,0.200,0.524,350
2/4/2024 3:00,0.093,0.244,350
2/4/2024 4:00,0.108,0.283,350
2/4/2024 5:00,0.224,0.587,350
2/4/2024 6:00,0.129,0.338,350
2/4/2024 7:00,0.212,0.555,350
2/4/2024 8:00,0.318,0.833,350
2/4/2024 9:00,0.498,1.305,350
2/4/2024 10:00,0.772,2.023,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
2/4/2024 11:00,0.894,2.342,350
2/4/2024 12:00,0.686,1.797,350
2/4/2024 13:00,0.419,1.098,350
2/4/2024 14:00,0.545,1.428,350
2/4/2024 15:00,0.467,1.224,350
2/4/2024 16:00,0.304,0.796,350
2/4/2024 17:00,0.251,0.658,350
2/4/2024 18:00,0.338,0.886,350
2/4/2024 19:00,0.275,0.721,350
2/4/2024 20:00,0.580,1.520,350
2/4/2024 21:00,0.981,2.570,350
2/4/2024 22:00,0.424,1.111,350
2/4/2024 23:00,1.260,3.301,350
3/4/2024 0:00,1.075,2.817,350
3/4/2024 1:00,1.513,3.964,350
3/4/2024 2:00,0.544,1.425,350
3/4/2024 3:00,0.328,0.859,350
3/4/2024 4:00,0.265,0.694,350
3/4/2024 5:00,0.637,1.669,350
3/4/2024 6:00,0.869,2.277,350
3/4/2024 7:00,0.868,2.274,350
3/4/2024 8:00,0.942,2.468,350
3/4/2024 9:00,0.800,2.096,350
3/4/2024 10:00,1.064,2.788,350
3/4/2024 11:00,0.525,1.376,350
3/4/2024 12:00,0.470,1.231,350
3/4/2024 13:00,0.572,1.499,350
3/4/2024 14:00,0.410,1.074,350
3/4/2024 15:00,0.379,0.993,350
3/4/2024 16:00,0.387,1.014,350
3/4/2024 17:00,0.440,1.153,350
3/4/2024 18:00,0.392,1.027,350
3/4/2024 19:00,0.478,1.252,350
3/4/2024 20:00,0.347,0.909,350
3/4/2024 21:00,0.339,0.888,350
3/4/2024 22:00,0.079,0.207,350
3/4/2024 23:00,0.095,0.249,350
4/4/2024 0:00,0.052,0.136,350
4/4/2024 1:00,1.832,4.800,350
4/4/2024 2:00,1.057,2.769,350
4/4/2024 3:00,0.484,1.268,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
4/4/2024 4:00,0.254,0.665,350
4/4/2024 5:00,0.690,1.808,350
4/4/2024 6:00,1.162,3.044,350
4/4/2024 7:00,0.587,1.538,350
4/4/2024 8:00,0.718,1.881,350
4/4/2024 9:00,1.974,5.172,350
4/4/2024 10:00,3.051,7.994,350
4/4/2024 11:00,1.021,2.675,350
4/4/2024 12:00,0.492,1.289,350
4/4/2024 13:00,0.358,0.938,350
4/4/2024 14:00,0.430,1.127,350
4/4/2024 15:00,0.450,1.179,350
4/4/2024 16:00,0.321,0.841,350
4/4/2024 17:00,0.585,1.533,350
4/4/2024 18:00,0.501,1.313,350
4/4/2024 19:00,0.371,0.972,350
4/4/2024 20:00,0.264,0.692,350
4/4/2024 21:00,0.675,1.769,350
4/4/2024 22:00,0.583,1.527,350
4/4/2024 23:00,0.281,0.736,350
5/4/2024 0:00,1.637,4.289,350
5/4/2024 1:00,0.894,2.342,350
5/4/2024 2:00,0.109,0.286,350
5/4/2024 3:00,0.380,0.996,350
5/4/2024 4:00,0.387,1.014,350
5/4/2024 5:00,0.447,1.171,350
5/4/2024 6:00,2.223,5.824,350
5/4/2024 7:00,2.783,7.291,350
5/4/2024 8:00,2.019,5.290,350
5/4/2024 9:00,1.452,3.804,350
5/4/2024 10:00,1.292,3.385,350
5/4/2024 11:00,1.167,3.058,350
5/4/2024 12:00,0.966,2.531,350
5/4/2024 13:00,0.711,1.863,350
5/4/2024 14:00,0.413,1.082,350
5/4/2024 15:00,0.522,1.368,350
5/4/2024 16:00,0.502,1.315,350
5/4/2024 17:00,0.433,1.134,350
5/4/2024 18:00,0.402,1.053,350
5/4/2024 19:00,0.259,0.679,350
5/4/2024 20:00,0.451,1.182,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
5/4/2024 21:00,0.407,1.066,350
5/4/2024 22:00,0.127,0.333,350
5/4/2024 23:00,0.175,0.459,350
6/4/2024 0:00,0.176,0.461,350
6/4/2024 1:00,0.228,0.597,350
6/4/2024 2:00,0.255,0.668,350
6/4/2024 3:00,0.182,0.477,350
6/4/2024 4:00,0.377,0.988,350
6/4/2024 5:00,0.050,0.131,350
6/4/2024 6:00,0.381,0.998,350
6/4/2024 7:00,0.637,1.669,350
6/4/2024 8:00,0.077,0.202,350
6/4/2024 9:00,0.064,0.168,350
6/4/2024 10:00,0.063,0.165,350
6/4/2024 11:00,0.038,0.100,350
6/4/2024 12:00,0.070,0.183,350
6/4/2024 13:00,0.094,0.246,350
6/4/2024 14:00,0.128,0.335,350
6/4/2024 15:00,0.193,0.506,350
6/4/2024 16:00,0.063,0.165,350
6/4/2024 17:00,0.167,0.438,350
6/4/2024 18:00,0.302,0.791,350
6/4/2024 19:00,0.397,1.040,350
6/4/2024 20:00,0.329,0.862,350
6/4/2024 21:00,0.197,0.516,350
6/4/2024 22:00,0.064,0.168,350
6/4/2024 23:00,0.143,0.375,350
7/4/2024 0:00,0.778,2.038,350
7/4/2024 1:00,0.957,2.507,350
7/4/2024 2:00,0.879,2.303,350
7/4/2024 3:00,0.254,0.665,350
7/4/2024 4:00,0.069,0.181,350
7/4/2024 5:00,0.104,0.272,350
7/4/2024 6:00,0.017,0.045,350
7/4/2024 7:00,0.178,0.466,350
7/4/2024 8:00,0.038,0.100,350
7/4/2024 9:00,0.059,0.155,350
7/4/2024 10:00,0.598,1.567,350
7/4/2024 11:00,0.443,1.161,350
7/4/2024 12:00,0.374,0.980,350
7/4/2024 13:00,0.097,0.254,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
7/4/2024 14:00,0.279,0.731,350
7/4/2024 15:00,0.173,0.453,350
7/4/2024 16:00,0.279,0.731,350
7/4/2024 17:00,0.125,0.328,350
7/4/2024 18:00,0.048,0.126,350
7/4/2024 19:00,0.043,0.113,350
7/4/2024 20:00,0.098,0.257,350
7/4/2024 21:00,0.099,0.259,350
7/4/2024 22:00,0.088,0.231,350
7/4/2024 23:00,0.098,0.257,350
8/4/2024 0:00,0.025,0.066,350
8/4/2024 1:00,0.092,0.241,350
8/4/2024 2:00,0.028,0.073,350
8/4/2024 3:00,0.018,0.047,350
8/4/2024 4:00,0.028,0.073,350
8/4/2024 5:00,0.105,0.275,350
8/4/2024 6:00,0.005,0.013,350
8/4/2024 7:00,0.387,1.014,350
8/4/2024 8:00,0.396,1.038,350
8/4/2024 9:00,0.482,1.263,350
8/4/2024 10:00,0.487,1.276,350
8/4/2024 11:00,0.271,0.710,350
8/4/2024 12:00,0.185,0.485,350
8/4/2024 13:00,0.360,0.943,350
8/4/2024 14:00,0.300,0.786,350
8/4/2024 15:00,0.141,0.369,350
8/4/2024 16:00,0.227,0.595,350
8/4/2024 17:00,0.143,0.375,350
8/4/2024 18:00,0.122,0.320,350
8/4/2024 19:00,0.184,0.482,350
8/4/2024 20:00,0.105,0.275,350
8/4/2024 21:00,0.132,0.346,350
8/4/2024 22:00,0.383,1.003,350
8/4/2024 23:00,0.427,1.119,350
9/4/2024 0:00,0.384,1.006,350
9/4/2024 1:00,0.582,1.525,350
9/4/2024 2:00,1.127,2.953,350
9/4/2024 3:00,0.567,1.486,350
9/4/2024 4:00,0.388,1.017,350
9/4/2024 5:00,0.565,1.480,350
9/4/2024 6:00,1.216,3.186,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
9/4/2024 7:00,1.228,3.217,350
9/4/2024 8:00,1.493,3.912,350
9/4/2024 9:00,1.453,3.807,350
9/4/2024 10:00,1.588,4.161,350
9/4/2024 11:00,1.481,3.880,350
9/4/2024 12:00,0.949,2.486,350
9/4/2024 13:00,1.078,2.824,350
9/4/2024 14:00,0.851,2.230,350
9/4/2024 15:00,0.478,1.252,350
9/4/2024 16:00,0.557,1.459,350
9/4/2024 17:00,0.457,1.197,350
9/4/2024 18:00,0.463,1.213,350
9/4/2024 19:00,0.389,1.019,350
9/4/2024 20:00,0.437,1.145,350
9/4/2024 21:00,0.527,1.381,350
9/4/2024 22:00,0.942,2.468,350
9/4/2024 23:00,2.139,5.604,350
10/4/2024 0:00,2.823,7.396,350
10/4/2024 1:00,1.663,4.357,350
10/4/2024 2:00,0.476,1.247,350
10/4/2024 3:00,0.140,0.367,350
10/4/2024 4:00,0.212,0.555,350
10/4/2024 5:00,0.403,1.056,350
10/4/2024 6:00,1.713,4.488,350
10/4/2024 7:00,1.405,3.681,350
10/4/2024 8:00,0.707,1.852,350
10/4/2024 9:00,0.711,1.863,350
10/4/2024 10:00,0.819,2.146,350
10/4/2024 11:00,0.925,2.424,350
10/4/2024 12:00,0.606,1.588,350
10/4/2024 13:00,0.464,1.216,350
10/4/2024 14:00,0.282,0.739,350
10/4/2024 15:00,0.240,0.629,350
10/4/2024 16:00,0.243,0.637,350
