Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
1/8/2024 0:00,0.120,0.314,350
1/8/2024 1:00,0.180,0.472,350
1/8/2024 2:00,0.220,0.576,350
1/8/2024 3:00,0.260,0.681,350
1/8/2024 4:00,0.230,0.603,350
1/8/2024 5:00,0.210,0.550,350
1/8/2024 6:00,0.330,0.865,350
1/8/2024 7:00,0.440,1.153,350
1/8/2024 8:00,0.670,1.755,350
1/8/2024 9:00,0.420,1.100,350
1/8/2024 10:00,0.480,1.258,350
1/8/2024 11:00,0.390,1.022,350
1/8/2024 12:00,0.310,0.812,350
1/8/2024 13:00,0.280,0.734,350
1/8/2024 14:00,0.220,0.576,350
1/8/2024 15:00,0.190,0.498,350
1/8/2024 16:00,0.220,0.576,350
1/8/2024 17:00,0.220,0.576,350
1/8/2024 18:00,0.240,0.629,350
1/8/2024 19:00,0.250,0.655,350
1/8/2024 20:00,0.180,0.472,350
1/8/2024 21:00,0.310,0.812,350
1/8/2024 22:00,0.420,1.100,350
1/8/2024 23:00,0.410,1.074,350
2/8/2024 0:00,0.370,0.969,350
2/8/2024 1:00,0.320,0.838,350
2/8/2024 2:00,0.090,0.236,350
2/8/2024 3:00,0.100,0.262,350
2/8/2024 4:00,0.050,0.131,350
2/8/2024 5:00,0.140,0.367,350
2/8/2024 6:00,0.090,0.236,350
2/8/2024 7:00,0.280,0.734,350
2/8/2024 8:00,0.240,0.629,350
2/8/2024 9:00,0.130,0.341,350
2/8/2024 10:00,0.000,0.000,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
2/8/2024 11:00,0.010,0.026,350
2/8/2024 12:00,0.030,0.079,350
2/8/2024 13:00,0.070,0.183,350
2/8/2024 14:00,0.200,0.524,350
2/8/2024 15:00,0.310,0.812,350
2/8/2024 16:00,0.310,0.812,350
2/8/2024 17:00,0.310,0.812,350
2/8/2024 18:00,0.260,0.681,350
2/8/2024 19:00,0.240,0.629,350
2/8/2024 20:00,0.270,0.707,350
2/8/2024 21:00,0.070,0.183,350
2/8/2024 22:00,0.060,0.157,350
2/8/2024 23:00,0.010,0.026,350
3/8/2024 0:00,0.160,0.419,350
3/8/2024 1:00,0.260,0.681,350
3/8/2024 2:00,0.250,0.655,350
3/8/2024 3:00,0.220,0.576,350
3/8/2024 4:00,0.190,0.498,350
3/8/2024 5:00,0.010,0.026,350
3/8/2024 6:00,0.040,0.105,350
3/8/2024 7:00,0.150,0.393,350
3/8/2024 8:00,0.110,0.288,350
3/8/2024 9:00,0.090,0.236,350
3/8/2024 10:00,0.080,0.210,350
3/8/2024 11:00,0.100,0.262,350
3/8/2024 12:00,0.100,0.262,350
3/8/2024 13:00,0.080,0.210,350
3/8/2024 14:00,0.060,0.157,350
3/8/2024 15:00,0.060,0.157,350
3/8/2024 16:00,0.090,0.236,350
3/8/2024 17:00,0.020,0.052,350
3/8/2024 18:00,0.040,0.105,350
3/8/2024 19:00,0.040,0.105,350
3/8/2024 20:00,0.040,0.105,350
3/8/2024 21:00,0.280,0.734,350
3/8/2024 22:00,0.370,0.969,350
3/8/2024 23:00,0.420,1.100,350
4/8/2024 0:00,0.530,1.389,350
4/8/2024 1:00,0.520,1.362,350
4/8/2024 2:00,0.520,1.362,350
4/8/2024 3:00,0.550,1.441,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
4/8/2024 4:00,0.440,1.153,350
4/8/2024 5:00,0.390,1.022,350
4/8/2024 6:00,0.520,1.362,350
4/8/2024 7:00,0.470,1.231,350
4/8/2024 8:00,0.450,1.179,350
4/8/2024 9:00,0.620,1.624,350
4/8/2024 10:00,0.820,2.148,350
4/8/2024 11:00,0.950,2.489,350
4/8/2024 12:00,0.970,2.541,350
4/8/2024 13:00,0.820,2.148,350
4/8/2024 14:00,0.820,2.148,350
4/8/2024 15:00,0.670,1.755,350
4/8/2024 16:00,0.650,1.703,350
4/8/2024 17:00,0.750,1.965,350
4/8/2024 18:00,0.740,1.939,350
4/8/2024 19:00,1.020,2.672,350
4/8/2024 20:00,1.060,2.777,350
4/8/2024 21:00,0.260,0.681,350
4/8/2024 22:00,0.260,0.681,350
4/8/2024 23:00,0.460,1.205,350
5/8/2024 0:00,0.800,2.096,350
5/8/2024 1:00,1.030,2.699,350
5/8/2024 2:00,1.570,4.113,350
5/8/2024 3:00,2.060,5.397,350
5/8/2024 4:00,2.690,7.048,350
5/8/2024 5:00,1.310,3.432,350
5/8/2024 6:00,1.130,2.961,350
5/8/2024 7:00,1.000,2.620,350
5/8/2024 8:00,1.000,2.620,350
5/8/2024 9:00,1.350,3.537,350
5/8/2024 10:00,1.500,3.930,350
5/8/2024 11:00,1.290,3.380,350
5/8/2024 12:00,1.110,2.908,350
5/8/2024 13:00,0.970,2.541,350
5/8/2024 14:00,0.720,1.886,350
5/8/2024 15:00,0.430,1.127,350
5/8/2024 16:00,0.200,0.524,350
5/8/2024 17:00,0.090,0.236,350
5/8/2024 18:00,0.120,0.314,350
5/8/2024 19:00,0.230,0.603,350
5/8/2024 20:00,0.180,0.472,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
5/8/2024 21:00,0.120,0.314,350
5/8/2024 22:00,0.080,0.210,350
5/8/2024 23:00,0.040,0.105,350
6/8/2024 0:00,0.180,0.472,350
6/8/2024 1:00,0.280,0.734,350
6/8/2024 2:00,0.230,0.603,350
6/8/2024 3:00,0.190,0.498,350
6/8/2024 4:00,0.210,0.550,350
6/8/2024 5:00,0.270,0.707,350
6/8/2024 6:00,0.290,0.760,350
6/8/2024 7:00,0.470,1.231,350
6/8/2024 8:00,0.370,0.969,350
6/8/2024 9:00,0.350,0.917,350
6/8/2024 10:00,0.470,1.231,350
6/8/2024 11:00,0.400,1.048,350
6/8/2024 12:00,0.270,0.707,350
6/8/2024 13:00,0.230,0.603,350
6/8/2024 14:00,0.150,0.393,350
6/8/2024 15:00,0.150,0.393,350
6/8/2024 16:00,0.140,0.367,350
6/8/2024 17:00,0.170,0.445,350
6/8/2024 18:00,0.190,0.498,350
6/8/2024 19:00,0.160,0.419,350
6/8/2024 20:00,0.120,0.314,350
6/8/2024 21:00,0.100,0.262,350
6/8/2024 22:00,0.090,0.236,350
6/8/2024 23:00,0.200,0.524,350
7/8/2024 0:00,0.100,0.262,350
7/8/2024 1:00,0.140,0.367,350
7/8/2024 2:00,0.270,0.707,350
7/8/2024 3:00,0.500,1.310,350
7/8/2024 4:00,2.350,6.157,350
7/8/2024 5:00,3.780,9.904,350
7/8/2024 6:00,2.450,6.419,350
7/8/2024 7:00,2.290,6.000,350
7/8/2024 8:00,2.140,5.607,350
7/8/2024 9:00,1.440,3.773,350
7/8/2024 10:00,0.960,2.515,350
7/8/2024 11:00,0.870,2.279,350
7/8/2024 12:00,0.940,2.463,350
7/8/2024 13:00,0.320,0.838,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
7/8/2024 14:00,0.080,0.210,350
7/8/2024 15:00,0.050,0.131,350
7/8/2024 16:00,0.080,0.210,350
7/8/2024 17:00,0.140,0.367,350
7/8/2024 18:00,0.140,0.367,350
7/8/2024 19:00,0.060,0.157,350
7/8/2024 20:00,0.010,0.026,350
7/8/2024 21:00,0.070,0.183,350
7/8/2024 22:00,0.130,0.341,350
7/8/2024 23:00,0.040,0.105,350
8/8/2024 0:00,0.070,0.183,350
8/8/2024 1:00,0.070,0.183,350
8/8/2024 2:00,0.100,0.262,350
8/8/2024 3:00,0.180,0.472,350
8/8/2024 4:00,0.070,0.183,350
8/8/2024 5:00,0.040,0.105,350
8/8/2024 6:00,0.010,0.026,350
8/8/2024 7:00,0.010,0.026,350
8/8/2024 8:00,0.100,0.262,350
8/8/2024 9:00,0.080,0.210,350
8/8/2024 10:00,0.020,0.052,350
8/8/2024 11:00,0.000,0.000,350
8/8/2024 12:00,0.050,0.131,350
8/8/2024 13:00,0.120,0.314,350
8/8/2024 14:00,0.020,0.052,350
8/8/2024 15:00,0.080,0.210,350
8/8/2024 16:00,0.180,0.472,350
8/8/2024 17:00,0.220,0.576,350
8/8/2024 18:00,0.240,0.629,350
8/8/2024 19:00,0.190,0.498,350
8/8/2024 20:00,0.210,0.550,350
8/8/2024 21:00,0.020,0.052,350
8/8/2024 22:00,0.380,0.996,350
8/8/2024 23:00,0.080,0.210,350
9/8/2024 0:00,0.050,0.131,350
9/8/2024 1:00,0.070,0.183,350
9/8/2024 2:00,0.070,0.183,350
9/8/2024 3:00,0.030,0.079,350
9/8/2024 4:00,0.020,0.052,350
9/8/2024 5:00,0.080,0.210,350
9/8/2024 6:00,0.040,0.105,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
9/8/2024 7:00,0.180,0.472,350
9/8/2024 8:00,0.160,0.419,350
9/8/2024 9:00,0.140,0.367,350
9/8/2024 10:00,0.110,0.288,350
9/8/2024 11:00,0.080,0.210,350
9/8/2024 12:00,0.060,0.157,350
9/8/2024 13:00,0.070,0.183,350
9/8/2024 14:00,0.010,0.026,350
9/8/2024 15:00,0.030,0.079,350
9/8/2024 16:00,0.040,0.105,350
9/8/2024 17:00,0.090,0.236,350
9/8/2024 18:00,0.090,0.236,350
9/8/2024 19:00,0.090,0.236,350
9/8/2024 20:00,0.130,0.341,350
9/8/2024 21:00,0.260,0.681,350
9/8/2024 22:00,0.230,0.603,350
9/8/2024 23:00,0.160,0.419,350
10/8/2024 0:00,0.170,0.445,350
10/8/2024 1:00,0.270,0.707,350
10/8/2024 2:00,0.210,0.550,350
10/8/2024 3:00,0.220,0.576,350
10/8/2024 4:00,0.180,0.472,350
10/8/2024 5:00,0.220,0.576,350
10/8/2024 6:00,0.300,0.786,350
10/8/2024 7:00,0.300,0.786,350
10/8/2024 8:00,0.350,0.917,350
10/8/2024 9:00,0.390,1.022,350
10/8/2024 10:00,0.490,1.284,350
10/8/2024 11:00,0.590,1.546,350
10/8/2024 12:00,0.580,1.520,350
10/8/2024 13:00,0.390,1.022,350
10/8/2024 14:00,0.340,0.891,350
10/8/2024 15:00,0.180,0.472,350
10/8/2024 16:00,0.210,0.550,350
10/8/2024 17:00,0.170,0.445,350
10/8/2024 18:00,0.240,0.629,350
10/8/2024 19:00,0.190,0.498,350
10/8/2024 20:00,0.130,0.341,350
10/8/2024 21:00,0.050,0.131,350
10/8/2024 22:00,0.070,0.183,350
10/8/2024 23:00,0.050,0.131,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
11/8/2024 0:00,0.050,0.131,350
11/8/2024 1:00,0.330,0.865,350
11/8/2024 2:00,0.050,0.131,350
11/8/2024 3:00,0.040,0.105,350
11/8/2024 4:00,0.070,0.183,350
11/8/2024 5:00,0.020,0.052,350
11/8/2024 6:00,0.010,0.026,350
11/8/2024 7:00,0.160,0.419,350
11/8/2024 8:00,0.200,0.524,350
11/8/2024 9:00,0.100,0.262,350
11/8/2024 10:00,0.060,0.157,350
11/8/2024 11:00,0.060,0.157,350
11/8/2024 12:00,0.090,0.236,350
11/8/2024 13:00,0.050,0.131,350
11/8/2024 14:00,0.130,0.341,350
11/8/2024 15:00,0.100,0.262,350
11/8/2024 16:00,0.090,0.236,350
11/8/2024 17:00,0.020,0.052,350
11/8/2024 18:00,0.120,0.314,350
11/8/2024 19:00,0.050,0.131,350
11/8/2024 20:00,0.200,0.524,350
11/8/2024 21:00,0.390,1.022,350
11/8/2024 22:00,0.390,1.022,350
11/8/2024 23:00,0.400,1.048,350
12/8/2024 0:00,0.400,1.048,350
12/8/2024 1:00,0.450,1.179,350
12/8/2024 2:00,0.420,1.100,350
12/8/2024 3:00,0.470,1.231,350
12/8/2024 4:00,0.460,1.205,350
12/8/2024 5:00,0.470,1.231,350
12/8/2024 6:00,0.460,1.205,350
12/8/2024 7:00,0.620,1.624,350
12/8/2024 8:00,0.580,1.520,350
12/8/2024 9:00,0.620,1.624,350
12/8/2024 10:00,0.540,1.415,350
12/8/2024 11:00,0.490,1.284,350
12/8/2024 12:00,0.430,1.127,350
12/8/2024 13:00,0.500,1.310,350
12/8/2024 14:00,0.550,1.441,350
12/8/2024 15:00,0.600,1.572,350
12/8/2024 16:00,0.520,1.362,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
12/8/2024 17:00,0.450,1.179,350
12/8/2024 18:00,0.460,1.205,350
12/8/2024 19:00,0.430,1.127,350
12/8/2024 20:00,0.370,0.969,350
12/8/2024 21:00,0.010,0.026,350
12/8/2024 22:00,0.020,0.052,350
12/8/2024 23:00,0.040,0.105,350
13/8/2024 0:00,0.000,0.000,350
13/8/2024 1:00,0.070,0.183,350
13/8/2024 2:00,0.070,0.183,350
13/8/2024 3:00,0.040,0.105,350
13/8/2024 4:00,0.010,0.026,350
13/8/2024 5:00,0.010,0.026,350
13/8/2024 6:00,0.130,0.341,350
13/8/2024 7:00,0.060,0.157,350
13/8/2024 8:00,0.040,0.105,350
13/8/2024 9:00,0.010,0.026,350
13/8/2024 10:00,0.040,0.105,350
