Ημερομηνία,CO (ppm),CO (mg/m3),"CO (mg/m3)
Κυλιόμενος Μ.Ο
8ώρου","Οριακή τιμή
κυλιόμενου Μ.Ο
8ώρου (mg/m3)"
31/3/2024 17:00,0.154,0.176,,10
31/3/2024 18:00,0.149,0.171,,10
31/3/2024 19:00,0.147,0.168,,10
31/3/2024 20:00,0.176,0.202,,10
31/3/2024 21:00,0.169,0.194,,10
31/3/2024 22:00,0.259,0.297,,10
31/3/2024 23:00,0.252,0.289,,10
1/4/2024 0:00,0.278,0.318,0.227,10
1/4/2024 1:00,0.293,0.335,0.247,10
1/4/2024 2:00,0.345,0.395,0.275,10
1/4/2024 3:00,0.358,0.410,0.305,10
1/4/2024 4:00,0.313,0.358,0.324,10
1/4/2024 5:00,0.231,0.264,0.333,10
1/4/2024 6:00,0.233,0.267,0.330,10
1/4/2024 7:00,0.250,0.286,0.329,10
1/4/2024 8:00,0.361,0.413,0.341,10
1/4/2024 9:00,0.283,0.324,0.340,10
1/4/2024 10:00,0.246,0.282,0.326,10
1/4/2024 11:00,0.242,0.277,0.309,10
1/4/2024 12:00,0.233,0.267,0.298,10
1/4/2024 13:00,0.239,0.274,0.299,10
1/4/2024 14:00,0.231,0.264,0.298,10
1/4/2024 15:00,0.223,0.255,0.295,10
1/4/2024 16:00,0.209,0.239,0.273,10
1/4/2024 17:00,0.223,0.255,0.264,10
1/4/2024 18:00,0.222,0.254,0.261,10
1/4/2024 19:00,0.220,0.252,0.258,10
1/4/2024 20:00,0.209,0.239,0.254,10
1/4/2024 21:00,0.215,0.246,0.251,10
1/4/2024 22:00,0.214,0.245,0.248,10
1/4/2024 23:00,0.208,0.238,0.246,10
2/4/2024 0:00,0.212,0.243,0.247,10
2/4/2024 1:00,0.251,0.287,0.251,10
2/4/2024 2:00,0.271,0.310,0.258,10
Ημερομηνία,CO (ppm),CO (mg/m3),"CO (mg/m3)
Κυλιόμενος Μ.Ο
8ώρου","Οριακή τιμή
κυλιόμενου Μ.Ο
8ώρου (mg/m3)"
2/4/2024 3:00,0.220,0.252,0.258,10
2/4/2024 4:00,0.223,0.255,0.260,10
2/4/2024 5:00,0.253,0.290,0.265,10
2/4/2024 6:00,0.237,0.271,0.268,10
2/4/2024 7:00,0.326,0.373,0.285,10
2/4/2024 8:00,0.343,0.393,0.304,10
2/4/2024 9:00,0.313,0.358,0.313,10
2/4/2024 10:00,0.284,0.325,0.315,10
2/4/2024 11:00,0.273,0.313,0.322,10
