"""01-01-2023""",2.2,2.3,2.5,2.0,1.6,1.6.1,1.6.2,1.9,1.9.1,1.5,1.3,0.8,0.8.1,0.7,0.9,0.7.1,0.6,1.0,2.1,2.0.1,2.0.2,1.8,1.7,1.8.1
"""02-01-2023""",1.7,1.8,1.5,1.1,0.7,0.7,0.6,1.1,1.5,1.9,1.7,1.3,1.0,0.8,0.7,0.6,0.5,0.6,2.0,2.0,1.6,1.6,1.7,1.9
"""03-01-2023""",1.5,1.4,0.9,0.8,0.6,0.7,0.6,1.4,2.2,2.6,2.4,1.8,1.5,0.9,0.7,0.8,0.8,1.0,2.4,2.5,2.5,2.2,2.2,2.5
"""04-01-2023""",1.9,1.9,1.7,1.3,0.9,0.7,1.0,1.1,1.5,1.1,0.8,0.7,0.6,0.6,0.6,0.6,0.7,0.9,1.3,1.9,2.0,1.8,1.9,1.7
"""05-01-2023""",1.5,1.6,1.1,1.3,1.4,1.2,1.2,1.6,1.3,1.0,1.3,1.4,1.2,0.9,0.6,0.6,0.5,0.5,1.4,1.8,1.9,1.8,2.0,1.6
"""06-01-2023""",1.8,1.5,1.5,1.2,0.8,0.7,0.6,0.4,0.4,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,1.0
"""07-01-2023""",0.7,0.6,0.5,0.4,0.5,0.4,0.4,0.5,0.6,1.0,0.9,0.8,0.6,0.6,0.5,0.4,0.4,0.5,1.4,1.6,1.4,1.4,1.4,1.4
"""08-01-2023""",1.3,1.2,1.2,1.1,0.9,0.9,0.8,1.1,1.0,1.2,1.4,1.0,0.9,0.7,0.5,0.5,0.5,0.5,1.2,2.0,1.5,1.5,1.5,1.6
"""09-01-2023""",2.1,1.6,1.2,1.3,0.9,0.7,0.7,1.0,1.2,1.3,1.3,1.3,1.3,0.9,0.8,0.7,0.8,0.8,0.9,0.9,1.1,1.0,0.9,1.0
"""10-01-2023""",0.6,0.5,0.5,0.4,0.3,0.3,0.3,0.8,0.7,1.0,1.1,1.2,0.8,0.7,0.8,0.8,0.8,1.4,1.5,2.0,1.8,1.5,1.5,0.7
"""11-01-2023""",0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.7,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.5
"""12-01-2023""",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.4,0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.6,0.5,0.5,0.5,0.6,0.6
"""13-01-2023""",0.5,0.6,0.5,0.5,0.4,0.5,0.4,1.1,1.1,1.1,1.1,0.9,0.6,0.5,0.6,-9999.0,0.7,0.7,1.2,1.4,1.9,2.1,2.4,1.8
