"""01-01-2023""",116,130,154,121,108,99,118,178,178.1,131,122,53,41,31,37,18,12,57,156,142,143,125,112,113
"""02-01-2023""",111,126,93,58,36,47,77,162,209,271,217,118,115,65,53,32,24,24,190,166,106,117,127,151
"""03-01-2023""",101,89,42,33,27,52,87,198,301,338,330,204,139,75,46,48,39,48,207,217,203,166,176,198
"""04-01-2023""",127,137,84,62,40,37,110,143,153,99,65,47,37,27,32,35,44,57,84,148,163,130,131,117
"""05-01-2023""",81,100,46,66,72,97,131,184,141,102,150,144,132,80,45,44,20,17,84,149,144,130,144,105
"""06-01-2023""",143,105,115,83,41,36,33,15,18,32,30,15,14,9,6,4,5,7,10,12,18,26,34,57
"""07-01-2023""",31,17,14,15,22,13,30,35,66,101,88,51,34,34,18,11,9,11,112,107,83,74,67,76
"""08-01-2023""",62,66,62,47,33,62,53,138,114,127,137,68,49,33,20,13,10,6,69,123,60,64,76,113
"""09-01-2023""",133,73,48,60,38,26,28,80,115,125,135,104,86,63,41,36,34,36,58,56,70,60,49,52
"""10-01-2023""",26,17,14,10,5,5,10,78,34,75,102,96,39,47,45,59,60,124,102,151,132,112,119,40
"""11-01-2023""",23,12,6,5,6,8,14,31,65,51,49,47,28,18,14,9,9,12,22,35,40,33,30,23
"""12-01-2023""",14,8,5,5,4,5,22,37,38,35,22,31,28,14,9,8,6,7,21,19,15,9,21,36
"""13-01-2023""",19,28,14,17,12,21,26,131,122,120,119,80,35,35,51,-9999,63,31,87,97,144,154,179,105
"""14-01-2023""",79,52,53,60,44,40,114,99,190,215,195,147,117,78,43,22,13,18,37,65,49,38,36,39
"""15-01-2023""",40,25,11,7,6,7,21,48,38,71,49,50,25,26,24,27,24,25,65,91,66,53,46,31
"""16-01-2023""",43,47,53,27,28,63,103,201,198,201,175,161,93,56,26,33,28,50,79,148,184,210,175,104
"""17-01-2023""",48,34,24,12,20,19,54,105,-9999,-9999,-9999,-9999,-9999,48,45,43,46,55,37,28,20,17,11,7
"""18-01-2023""",5,4,3,3,3,5,10,14,18,20,-9999,20,23,23,19,19,26,26,22,13,11,11,9,7
"""19-01-2023""",5,3,3,3,4,5,12,16,20,19,19,20,13,14,13,15,18,14,11,11,10,10,7,5
"""20-01-2023""",3,3,3,3,5,7,19,19,28,19,26,30,15,12,6,8,4,4,8,47,95,90,82,58
"""21-01-2023""",52,21,9,4,7,20,9,18,13,18,22,22,19,17,8,18,24,47,69,54,72,91,95,104
"""22-01-2023""",91,115,89,31,20,15,27,104,101,87,63,35,27,24,22,17,14,16,97,65,47,59,39,24
"""23-01-2023""",9,4,3,3,3,8,15,16,26,17,15,14,9,9,8,7,9,10,7,5,5,5,4,3
"""24-01-2023""",3,2,2,2,3,6,8,9,12,12,10,12,13,21,24,25,29,20,19,20,21,18,10,8
"""25-01-2023""",4,3,3,3,3,5,17,18,22,19,17,16,23,30,34,36,36,26,23,16,15,14,13,11
"""26-01-2023""",5,3,3,3,3,5,23,30,49,30,32,23,21,23,40,41,53,51,57,36,44,42,24,19
"""27-01-2023""",16,10,4,4,6,28,30,52,83,75,68,62,56,54,40,44,67,52,54,52,34,25,16,17
"""28-01-2023""",14,8,5,4,7,11,17,26,34,25,22,15,12,8,7,13,5,5,7,16,11,28,26,26
"""29-01-2023""",18,17,10,12,18,10,13,19,18,21,15,12,7,7,9,6,6,13,13,18,19,23,18,24
"""30-01-2023""",19,8,7,3,12,27,41,42,56,59,38,31,17,22,8,5,13,25,32,36,28,29,23,20
"""31-01-2023""",6,4,3,3,4,19,42,41,19,7,5,6,5,5,4,5,4,4,6,14,5,8,3,3
"""01-02-2023""",2,2,3,2,4,7,13,9,56,22,7,6,4,4,4,4,5,4,13,82,143,176,202,135
"""02-02-2023""",58,26,12,7,16,71,145,276,376,343,162,123,80,45,38,32,28,15,139,235,212,200,140,47
"""03-02-2023""",13,4,3,4,5,16,19,7,30,8,5,5,4,4,4,7,7,15,12,25,28,56,51,58
"""04-02-2023""",60,54,36,34,28,37,91,142,175,103,57,35,21,8,7,6,4,4,3,3,4,3,5,3
"""05-02-2023""",3,2,2,2,2,2,2,2,3,3,3,4,4,3,3,3,3,4,4,5,6,4,3,3
"""06-02-2023""",2,2,2,1,2,5,16,31,38,19,9,5,6,5,4,4,4,4,5,7,17,15,20,9
"""07-02-2023""",5,3,4,2,3,17,31,71,81,46,25,14,13,8,5,4,4,4,9,18,27,29,29,18
"""08-02-2023""",10,6,5,4,3,16,37,49,83,45,33,26,18,14,20,12,6,3,46,61,51,39,32,28
"""09-02-2023""",22,9,6,3,3,16,29,38,69,33,29,22,17,21,16,23,27,39,49,46,41,54,72,46
"""10-02-2023""",24,6,3,3,4,20,97,186,212,137,53,31,20,24,23,10,4,7,87,86,77,144,72,43
"""11-02-2023""",28,15,12,9,18,30,45,35,29,22,22,22,12,8,5,4,5,5,46,94,74,53,65,51
"""12-02-2023""",52,34,28,33,54,57,41,46,39,24,23,11,6,5,5,5,4,4,25,61,64,68,55,22
"""13-02-2023""",32,11,5,3,6,21,57,139,138,62,34,28,14,10,6,5,4,5,31,97,95,147,103,72
"""14-02-2023""",46,17,21,20,12,36,52,42,51,37,25,10,7,8,8,6,7,7,7,8,23,22,16,8
"""15-02-2023""",8,5,4,4,3,6,24,77,84,41,14,12,21,8,11,13,7,3,66,74,142,110,76,46
"""16-02-2023""",28,16,9,6,21,44,121,241,309,265,177,104,55,27,23,27,16,4,25,90,74,105,123,90
"""17-02-2023""",83,68,60,42,63,94,212,284,364,303,176,122,72,60,32,33,23,36,47,151,129,106,110,118
"""18-02-2023""",72,43,17,12,15,61,135,202,222,142,112,51,33,39,27,19,9,8,79,117,121,138,153,113
"""19-02-2023""",86,68,48,48,45,75,86,147,178,123,51,39,29,23,17,15,10,7,6,94,137,105,82,91
"""20-02-2023""",45,21,26,8,8,13,18,22,13,10,10,4,5,4,4,4,4,4,4,4,5,21,33,25
"""21-02-2023""",13,20,15,7,17,83,176,325,372,218,149,83,43,37,42,37,16,11,18,140,107,118,104,57
"""22-02-2023""",62,36,30,21,22,81,169,245,296,194,96,63,58,50,35,28,35,33,15,70,100,80,96,56
"""23-02-2023""",47,27,25,24,32,71,95,150,130,62,50,28,15,14,7,8,30,6,21,37,101,100,51,38
"""24-02-2023""",43,16,14,7,15,43,27,51,79,71,38,31,25,28,28,15,8,5,9,6,4,21,39,34
"""25-02-2023""",41,26,32,17,12,32,50,88,92,67,50,24,21,14,7,5,4,11,75,98,111,117,122,124
"""26-02-2023""",95,70,34,28,25,24,49,56,86,71,47,21,13,7,7,6,6,8,8,8,7,7,6,6
"""27-02-2023""",5,4,3,3,3,4,13,11,28,56,15,16,18,15,14,7,15,18,24,73,69,66,41,31
