COMPONENT PM10 (aerosol), day,Unnamed: 2
STATION AGIA SOFIA,,
20070101 00:00,-9999.0,0.0
20070102 00:00,-9999.0,0.0
20070103 00:00,-9999.0,0.0
20070104 00:00,-9999.0,0.0
20070105 00:00,-9999.0,0.0
20070106 00:00,-9999.0,0.0
20070107 00:00,-9999.0,0.0
20070108 00:00,-9999.0,0.0
20070109 00:00,-9999.0,0.0
20070110 00:00,-9999.0,0.0
20070111 00:00,-9999.0,0.0
20070112 00:00,-9999.0,0.0
20070113 00:00,-9999.0,0.0
20070114 00:00,-9999.0,0.0
20070115 00:00,-9999.0,0.0
20070116 00:00,-9999.0,0.0
20070117 00:00,-9999.0,0.0
20070118 00:00,-9999.0,0.0
20070119 00:00,-9999.0,0.0
20070120 00:00,-9999.0,0.0
20070121 00:00,-9999.0,0.0
20070122 00:00,-9999.0,0.0
20070123 00:00,-9999.0,0.0
20070124 00:00,41.0,1.0
20070125 00:00,34.0,1.0
20070126 00:00,39.0,1.0
20070127 00:00,40.0,1.0
20070128 00:00,19.0,1.0
20070129 00:00,37.0,1.0
20070130 00:00,22.0,1.0
20070131 00:00,30.0,1.0
20070201 00:00,-9999.0,0.0
20070202 00:00,25.0,1.0
20070203 00:00,36.0,1.0
20070204 00:00,22.0,1.0
20070205 00:00,28.0,1.0
20070206 00:00,45.0,1.0
20070207 00:00,-9999.0,0.0
20070208 00:00,-9999.0,0.0
20070209 00:00,-9999.0,0.0
20070210 00:00,-9999.0,0.0
20070211 00:00,-9999.0,0.0
20070212 00:00,-9999.0,0.0
20070213 00:00,-9999.0,0.0
20070214 00:00,-9999.0,0.0
20070215 00:00,32.0,1.0
20070216 00:00,51.0,1.0
20070217 00:00,31.0,1.0
20070218 00:00,23.0,1.0
20070219 00:00,38.0,1.0
20070220 00:00,-9999.0,0.0
20070221 00:00,-9999.0,0.0
20070222 00:00,-9999.0,0.0
20070223 00:00,-9999.0,0.0
20070224 00:00,29.0,1.0
20070225 00:00,33.0,1.0
20070226 00:00,41.0,1.0
20070227 00:00,-9999.0,0.0
20070228 00:00,29.0,1.0
20070301 00:00,-9999.0,0.0
20070302 00:00,-9999.0,0.0
20070303 00:00,37.0,1.0
20070304 00:00,33.0,1.0
20070305 00:00,27.0,1.0
20070306 00:00,30.0,1.0
20070307 00:00,41.0,1.0
20070308 00:00,-9999.0,0.0
20070309 00:00,67.0,1.0
20070310 00:00,49.0,1.0
20070311 00:00,52.0,1.0
20070312 00:00,50.0,1.0
20070313 00:00,58.0,1.0
20070314 00:00,40.0,1.0
20070315 00:00,68.0,1.0
20070316 00:00,-9999.0,0.0
20070317 00:00,-9999.0,0.0
20070318 00:00,-9999.0,0.0
20070319 00:00,-9999.0,0.0
20070320 00:00,47.0,1.0
20070321 00:00,47.0,1.0
20070322 00:00,25.0,1.0
20070323 00:00,25.0,1.0
20070324 00:00,31.0,1.0
20070325 00:00,30.0,1.0
20070326 00:00,34.0,1.0
20070327 00:00,47.0,1.0
20070328 00:00,27.0,1.0
20070329 00:00,41.0,1.0
20070330 00:00,47.0,1.0
20070331 00:00,47.0,1.0
20070401 00:00,30.0,1.0
20070402 00:00,45.0,1.0
20070403 00:00,-9999.0,0.0
20070404 00:00,-9999.0,0.0
20070405 00:00,36.0,1.0
20070406 00:00,45.0,1.0
20070407 00:00,46.0,1.0
20070408 00:00,28.0,1.0
20070409 00:00,32.0,1.0
20070410 00:00,-9999.0,0.0
20070411 00:00,53.0,1.0
20070412 00:00,36.0,1.0
20070413 00:00,44.0,1.0
20070414 00:00,46.0,1.0
20070415 00:00,46.0,1.0
20070416 00:00,22.0,1.0
20070417 00:00,30.0,1.0
20070418 00:00,41.0,1.0
20070419 00:00,42.0,1.0
20070420 00:00,36.0,1.0
20070421 00:00,50.0,1.0
20070422 00:00,54.0,1.0
20070423 00:00,40.0,1.0
20070424 00:00,40.0,1.0
20070425 00:00,43.0,1.0
20070426 00:00,30.0,1.0
20070427 00:00,37.0,1.0
20070428 00:00,38.0,1.0
20070429 00:00,49.0,1.0
20070430 00:00,-9999.0,0.0
20070501 00:00,35.0,1.0
20070502 00:00,-9999.0,0.0
20070503 00:00,-9999.0,0.0
20070504 00:00,-9999.0,0.0
20070505 00:00,-9999.0,0.0
20070506 00:00,-9999.0,0.0
20070507 00:00,-9999.0,0.0
20070508 00:00,31.0,1.0
20070509 00:00,45.0,1.0
20070510 00:00,37.0,1.0
20070511 00:00,50.0,1.0
20070512 00:00,42.0,1.0
20070513 00:00,45.0,1.0
20070514 00:00,44.0,1.0
20070515 00:00,33.0,1.0
20070516 00:00,43.0,1.0
20070517 00:00,39.0,1.0
20070518 00:00,30.0,1.0
20070519 00:00,22.0,1.0
20070520 00:00,25.0,1.0
20070521 00:00,42.0,1.0
20070522 00:00,35.0,1.0
20070523 00:00,32.0,1.0
20070524 00:00,27.0,1.0
20070525 00:00,43.0,1.0
20070526 00:00,47.0,1.0
20070527 00:00,35.0,1.0
20070528 00:00,40.0,1.0
20070529 00:00,38.0,1.0
20070530 00:00,27.0,1.0
20070531 00:00,24.0,1.0
20070601 00:00,25.0,1.0
20070602 00:00,34.0,1.0
20070603 00:00,36.0,1.0
20070604 00:00,43.0,1.0
20070605 00:00,37.0,1.0
20070606 00:00,31.0,1.0
20070607 00:00,33.0,1.0
20070608 00:00,43.0,1.0
20070609 00:00,37.0,1.0
20070610 00:00,38.0,1.0
20070611 00:00,37.0,1.0
20070612 00:00,40.0,1.0
20070613 00:00,29.0,1.0
20070614 00:00,32.0,1.0
20070615 00:00,42.0,1.0
20070616 00:00,49.0,1.0
20070617 00:00,24.0,1.0
20070618 00:00,31.0,1.0
20070619 00:00,47.0,1.0
20070620 00:00,33.0,1.0
20070621 00:00,49.0,1.0
20070622 00:00,59.0,1.0
20070623 00:00,67.0,1.0
20070624 00:00,69.0,1.0
20070625 00:00,73.0,1.0
20070626 00:00,78.0,1.0
20070627 00:00,80.0,1.0
20070628 00:00,-9999.0,0.0
20070629 00:00,41.0,1.0
20070630 00:00,42.0,1.0
20070701 00:00,34.0,1.0
20070702 00:00,39.0,1.0
20070703 00:00,35.0,1.0
20070704 00:00,39.0,1.0
20070705 00:00,40.0,1.0
20070706 00:00,20.0,1.0
20070707 00:00,28.0,1.0
20070708 00:00,31.0,1.0
20070709 00:00,39.0,1.0
20070710 00:00,39.0,1.0
20070711 00:00,41.0,1.0
20070712 00:00,31.0,1.0
20070713 00:00,26.0,1.0
20070714 00:00,26.0,1.0
20070715 00:00,44.0,1.0
20070716 00:00,47.0,1.0
20070717 00:00,50.0,1.0
20070718 00:00,57.0,1.0
20070719 00:00,52.0,1.0
20070720 00:00,60.0,1.0
20070721 00:00,49.0,1.0
20070722 00:00,52.0,1.0
20070723 00:00,65.0,1.0
20070724 00:00,115.0,1.0
20070725 00:00,127.0,1.0
20070726 00:00,-9999.0,0.0
20070727 00:00,49.0,1.0
20070728 00:00,41.0,1.0
20070729 00:00,-9999.0,0.0
20070730 00:00,-9999.0,0.0
20070731 00:00,-9999.0,0.0
20070801 00:00,-9999.0,0.0
20070802 00:00,-9999.0,0.0
20070803 00:00,-9999.0,0.0
20070804 00:00,-9999.0,0.0
20070805 00:00,-9999.0,0.0
20070806 00:00,-9999.0,0.0
20070807 00:00,-9999.0,0.0
