COMPONENT PM10 (aerosol), day,Unnamed: 2
STATION NEOCHOROUDA,,
20130101 00:00,22.0,1.0
20130102 00:00,22.0,1.0
20130103 00:00,19.0,1.0
20130104 00:00,18.0,1.0
20130105 00:00,9.0,1.0
20130106 00:00,6.0,1.0
20130107 00:00,10.0,1.0
20130108 00:00,8.0,1.0
20130109 00:00,17.0,1.0
20130110 00:00,28.0,1.0
20130111 00:00,29.0,1.0
20130112 00:00,12.0,1.0
20130113 00:00,13.0,1.0
20130114 00:00,15.0,1.0
20130115 00:00,25.0,1.0
20130116 00:00,15.0,1.0
20130117 00:00,13.0,1.0
20130118 00:00,14.0,1.0
20130119 00:00,10.0,1.0
20130120 00:00,17.0,1.0
20130121 00:00,35.0,1.0
20130122 00:00,26.0,1.0
20130123 00:00,12.0,1.0
20130124 00:00,14.0,1.0
20130125 00:00,13.0,1.0
20130126 00:00,7.0,1.0
20130127 00:00,12.0,1.0
20130128 00:00,20.0,1.0
20130129 00:00,20.0,1.0
20130130 00:00,21.0,1.0
20130131 00:00,14.0,1.0
20130201 00:00,14.0,1.0
20130202 00:00,20.0,1.0
20130203 00:00,27.0,1.0
20130204 00:00,14.0,1.0
20130205 00:00,18.0,1.0
20130206 00:00,28.0,1.0
20130207 00:00,14.0,1.0
20130208 00:00,7.0,1.0
20130209 00:00,20.0,1.0
20130210 00:00,18.0,1.0
20130211 00:00,8.0,1.0
20130212 00:00,13.0,1.0
20130213 00:00,9.0,1.0
20130214 00:00,7.0,1.0
20130215 00:00,13.0,1.0
20130216 00:00,11.0,1.0
20130217 00:00,17.0,1.0
20130218 00:00,20.0,1.0
20130219 00:00,9.0,1.0
20130220 00:00,9.0,1.0
20130221 00:00,9.0,1.0
20130222 00:00,7.0,1.0
20130223 00:00,13.0,1.0
20130224 00:00,22.0,1.0
20130225 00:00,32.0,1.0
20130226 00:00,12.0,1.0
20130227 00:00,5.0,1.0
20130228 00:00,14.0,1.0
20130301 00:00,19.0,1.0
20130302 00:00,20.0,1.0
20130303 00:00,20.0,1.0
20130304 00:00,19.0,1.0
20130305 00:00,30.0,1.0
20130306 00:00,30.0,1.0
20130307 00:00,24.0,1.0
20130308 00:00,26.0,1.0
20130309 00:00,21.0,1.0
20130310 00:00,19.0,1.0
20130311 00:00,20.0,1.0
20130312 00:00,10.0,1.0
20130313 00:00,11.0,1.0
20130314 00:00,32.0,1.0
20130315 00:00,10.0,1.0
20130316 00:00,13.0,1.0
20130317 00:00,18.0,1.0
20130318 00:00,26.0,1.0
20130319 00:00,34.0,1.0
20130320 00:00,24.0,1.0
20130321 00:00,32.0,1.0
20130322 00:00,5.0,1.0
20130323 00:00,8.0,1.0
20130324 00:00,13.0,1.0
20130325 00:00,24.0,1.0
20130326 00:00,42.0,1.0
20130327 00:00,10.0,1.0
20130328 00:00,9.0,1.0
20130329 00:00,15.0,1.0
20130330 00:00,26.0,1.0
20130331 00:00,28.0,1.0
20130401 00:00,19.0,1.0
20130402 00:00,16.0,1.0
20130403 00:00,8.0,1.0
20130404 00:00,6.0,1.0
20130405 00:00,14.0,1.0
20130406 00:00,41.0,1.0
20130407 00:00,37.0,1.0
20130408 00:00,3.0,1.0
20130409 00:00,11.0,1.0
20130410 00:00,16.0,1.0
20130411 00:00,13.0,1.0
20130412 00:00,20.0,1.0
20130413 00:00,25.0,1.0
20130414 00:00,11.0,1.0
20130415 00:00,9.0,1.0
20130416 00:00,7.0,1.0
20130417 00:00,17.0,1.0
20130418 00:00,29.0,1.0
20130419 00:00,20.0,1.0
20130420 00:00,20.0,1.0
20130421 00:00,22.0,1.0
20130422 00:00,27.0,1.0
20130423 00:00,29.0,1.0
20130424 00:00,31.0,1.0
20130425 00:00,29.0,1.0
20130426 00:00,29.0,1.0
20130427 00:00,24.0,1.0
20130428 00:00,25.0,1.0
20130429 00:00,31.0,1.0
20130430 00:00,35.0,1.0
20130501 00:00,32.0,1.0
20130502 00:00,29.0,1.0
20130503 00:00,24.0,1.0
20130504 00:00,26.0,1.0
20130505 00:00,26.0,1.0
20130506 00:00,26.0,1.0
20130507 00:00,21.0,1.0
20130508 00:00,23.0,1.0
20130509 00:00,13.0,1.0
20130510 00:00,18.0,1.0
20130511 00:00,17.0,1.0
20130512 00:00,9.0,1.0
20130513 00:00,8.0,1.0
20130514 00:00,9.0,1.0
20130515 00:00,16.0,1.0
20130516 00:00,23.0,1.0
20130517 00:00,20.0,1.0
20130518 00:00,34.0,1.0
20130519 00:00,39.0,1.0
20130520 00:00,53.0,1.0
20130521 00:00,40.0,1.0
20130522 00:00,67.0,1.0
20130523 00:00,51.0,1.0
20130524 00:00,14.0,1.0
20130525 00:00,14.0,1.0
20130526 00:00,17.0,1.0
20130527 00:00,12.0,1.0
20130528 00:00,15.0,1.0
20130529 00:00,22.0,1.0
20130530 00:00,41.0,1.0
20130531 00:00,11.0,1.0
20130601 00:00,10.0,1.0
20130602 00:00,7.0,1.0
20130603 00:00,9.0,1.0
20130604 00:00,9.0,1.0
20130605 00:00,7.0,1.0
20130606 00:00,8.0,1.0
20130607 00:00,10.0,1.0
20130608 00:00,10.0,1.0
20130609 00:00,12.0,1.0
20130610 00:00,16.0,1.0
20130611 00:00,14.0,1.0
20130612 00:00,8.0,1.0
20130613 00:00,11.0,1.0
20130614 00:00,16.0,1.0
20130615 00:00,15.0,1.0
20130616 00:00,13.0,1.0
20130617 00:00,24.0,1.0
20130618 00:00,26.0,1.0
20130619 00:00,26.0,1.0
20130620 00:00,25.0,1.0
20130621 00:00,20.0,1.0
20130622 00:00,20.0,1.0
20130623 00:00,20.0,1.0
20130624 00:00,17.0,1.0
20130625 00:00,22.0,1.0
20130626 00:00,15.0,1.0
20130627 00:00,11.0,1.0
20130628 00:00,12.0,1.0
20130629 00:00,20.0,1.0
20130630 00:00,9.0,1.0
20130701 00:00,12.0,1.0
20130702 00:00,14.0,1.0
20130703 00:00,17.0,1.0
20130704 00:00,21.0,1.0
20130705 00:00,17.0,1.0
20130706 00:00,11.0,1.0
20130707 00:00,12.0,1.0
20130708 00:00,16.0,1.0
20130709 00:00,16.0,1.0
20130710 00:00,12.0,1.0
20130711 00:00,17.0,1.0
20130712 00:00,11.0,1.0
20130713 00:00,13.0,1.0
20130714 00:00,13.0,1.0
20130715 00:00,14.0,1.0
20130716 00:00,18.0,1.0
20130717 00:00,-9999.0,0.0
20130718 00:00,14.0,1.0
20130719 00:00,20.0,1.0
20130720 00:00,19.0,1.0
20130721 00:00,22.0,1.0
20130722 00:00,-9999.0,0.0
20130723 00:00,20.0,1.0
20130724 00:00,15.0,1.0
20130725 00:00,21.0,1.0
20130726 00:00,24.0,1.0
20130727 00:00,26.0,1.0
20130728 00:00,24.0,1.0
20130729 00:00,28.0,1.0
20130730 00:00,32.0,1.0
20130731 00:00,17.0,1.0
20130801 00:00,20.0,1.0
20130802 00:00,19.0,1.0
20130803 00:00,24.0,1.0
20130804 00:00,23.0,1.0
20130805 00:00,20.0,1.0
20130806 00:00,19.0,1.0
20130807 00:00,26.0,1.0
20130808 00:00,24.0,1.0
20130809 00:00,32.0,1.0
20130810 00:00,23.0,1.0
20130811 00:00,27.0,1.0
20130812 00:00,29.0,1.0
20130813 00:00,34.0,1.0
20130814 00:00,36.0,1.0
20130815 00:00,33.0,1.0
20130816 00:00,30.0,1.0
20130817 00:00,29.0,1.0
20130818 00:00,22.0,1.0
20130819 00:00,24.0,1.0
20130820 00:00,34.0,1.0
20130821 00:00,25.0,1.0
20130822 00:00,28.0,1.0
20130823 00:00,25.0,1.0
20130824 00:00,25.0,1.0
20130825 00:00,24.0,1.0
20130826 00:00,24.0,1.0
20130827 00:00,-9999.0,0.0
20130828 00:00,22.0,1.0
20130829 00:00,9.0,1.0
20130830 00:00,13.0,1.0
