Parameter,Method,Result,Unit
Βάριο (Βa),Εσωτ. βασισμένη σε APHA 3125B*,20,μg/L
Κάδμιο (Cd),Εσωτ. βασισμένη σε APHA 3125B*,< 20,μg/L
Κοβάλτιο (Co),Εσωτ. βασισμένη σε APHA 3125B*,< 20,μg/L
Χρώμιο (Cr),Εσωτ. βασισμένη σε APHA 3125B*,< 20,μg/L
Χαλκός (Cu),Εσωτ. βασισμένη σε APHA 3125B*,< 20,μg/L
Μαγγάνιο (Mn),Εσωτ. βασισμένη σε APHA 3125B*,< 20,μg/L
Νικέλιο (Ni),Εσωτ. βασισμένη σε APHA 3125B*,< 20,μg/L
Μόλυβδος (Pb),Εσωτ. βασισμένη σε APHA 3125B*,< 20,μg/L
Ψευδάργυρος (Zn),Εσωτ. βασισμένη σε APHA 3125B*,"93,3",μg/L
Υδρογονάνθρακες [C10-C40],Εσωτ. βασισμένη σε ISO 9377-2:2000*,< 100,μg/L
