ΕΙΣΕΡΧΟΜΕΝΑ ΑΝΑΚΥΚΛΩΣΙΜΑ ΥΛΙΚΑ ΣΤΟ ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΘΕΡΜΗΣ 2024 - 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Ιαν-24,Φεβ-24,Μαρ-24,Απρ-24,Μαϊ-24,Ιουν-24,Ιουλ-24,Αυγ-24,Σεπ-24,Οκτ-24,Νοε-24,Δεκ-24,2024
ΚΑΛΑΜΑΡΙΑ,444900,392920,394880,432120,414400,,,,,,,,2079220
,Ιαν-23,Φεβ-23,Μαρ-23,Απρ-23,Μαϊ-23,Ιουν-23,Ιουλ-23,Αυγ-23,Σεπ-23,Οκτ-23,Νοε-23,Δεκ-23,2023
ΚΑΛΑΜΑΡΙΑ,412720,349740,409100,376060,427800,465040,396480,355660,462220,452480,437920,446400,4991620
,Ιαν-22,Φεβ-22,Μαρ-22,Απρ-22,Μαϊ-22,Ιουν-22,Ιουλ-22,Αυγ-22,Σεπ-22,Οκτ-22,Νοε-22,Δεκ-22,2022
ΚΑΛΑΜΑΡΙΑ,429430,367860,399480,398460,426080,440100,394600,371480,453300,445220,421860,409060,4956930
,Ιαν-21,Φεβ-21,Μαρ-21,Απρ-21,Μαϊ-21,Ιουν-21,Ιουλ-21,Αυγ-21,Σεπ-21,Οκτ-21,Νοε-21,Δεκ-21,2021
ΚΑΛΑΜΑΡΙΑ,396020,362500,407040,415560,440800,427980,415060,376120,467020,357130,529430,448940,5043600
,Ιαν-20,Φεβ-20,Μαρ-20,Απρ-20,Μαϊ-20,Ιουν-20,Ιουλ-20,Αυγ-20,Σεπ-20,Οκτ-20,Νοε-20,Δεκ-20,2020
ΚΑΛΑΜΑΡΙΑ,400880,366560,419360,398420,409330,435440,395900,315590,496340,449220,408650,408140,4903830
,Ιαν-19,Φεβ-19,Μαρ-19,Απρ-19,Μαϊ-19,Ιουν-19,Ιουλ-19,Αυγ-19,Σεπ-19,Οκτ-19,Νοε-19,Δεκ-19,2019
ΚΑΛΑΜΑΡΙΑ,376000,325820,342150,400540,407420,377140,400360,321180,348720,438540,404920,438360,4581150
,Ιαν-18,Φεβ-18,Μαρ-18,Απρ-18,Μαϊ-18,Ιουν-18,Ιουλ-18,Αυγ-18,Σεπ-18,Οκτ-18,Νοε-18,Δεκ-18,2018
ΚΑΛΑΜΑΡΙΑ,348840,302630,349260,344840,383000,377920,317500,311300,374100,432060,377560,385410,4304420
,Ιαν-17,Φεβ-17,Μαρ-17,Απρ-17,Μαϊ-17,Ιουν-17,Ιουλ-17,Αυγ-17,Σεπ-17,Οκτ-17,Νοε-17,Δεκ-17,2017
ΚΑΛΑΜΑΡΙΑ,344460,286390,349970,297460,376570,185840,307200,285020,364710,382590,366500,346120,3892830
,Ιαν-16,Φεβ-16,Μαρ-16,Απρ-16,Μαϊ-16,Ιουν-16,Ιουλ-16,Αυγ-16,Σεπ-16,Οκτ-16,Νοε-16,Δεκ-16,2016
ΚΑΛΑΜΑΡΙΑ,322770,326300,332090,332160,358310,338040,289800,293350,401350,372820,337490,333640,4038120
,Ιαν-15,Φεβ-15,Μαρ-15,Απρ-15,Μαϊ-15,Ιουν-15,Ιουλ-15,Αυγ-15,Σεπ-15,Οκτ-15,Νοε-15,Δεκ-15,2015
ΚΑΛΑΜΑΡΙΑ,348520,312520,364880,342690,365660,406550,308450,284530,410870,396910,369940,371340,4282860
,Ιαν-14,Φεβ-14,Μαρ-14,Απρ-14,Μαϊ-14,Ιουν-14,Ιουλ-14,Αυγ-14,Σεπ-14,Οκτ-14,Νοε-14,Δεκ-14,2014
ΚΑΛΑΜΑΡΙΑ,350760,306640,356450,331380,388860,388370,345880,285970,450880,414600,414600,426140,4460530
