ΕΙΣΕΡΧΟΜΕΝΑ ΑΝΑΚΥΚΛΩΣΙΜΑ ΥΛΙΚΑ ΣΤΟ ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΚΑΛΑΜΑΡΙΑΣ 2014-2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,Ιαν,Φεβ,Μαρ,Απρ,Μαϊ,Ιουν,Ιουλ,Αυγ,Σεπ,Οκτ,Νοε,Δεκ,sum,
ΚΑΛΑΜΑΡΙΑ,444900,392920,394880,432120,414400,,,,,,,,2079220,2024.0
ΚΑΛΑΜΑΡΙΑ,412720,349740,409100,376060,427800,465040,396480,355660,462220,452480,437920,446400,4991620,2023.0
ΚΑΛΑΜΑΡΙΑ,429430,367860,399480,398460,426080,440100,394600,371480,453300,445220,421860,409060,4956930,2022.0
ΚΑΛΑΜΑΡΙΑ,396020,362500,407040,415560,440800,427980,415060,376120,467020,357130,529430,448940,5043600,2021.0
ΚΑΛΑΜΑΡΙΑ,400880,366560,419360,398420,409330,435440,395900,315590,496340,449220,408650,408140,4903830,2020.0
ΚΑΛΑΜΑΡΙΑ,376000,325820,342150,400540,407420,377140,400360,321180,348720,438540,404920,438360,4581150,2019.0
ΚΑΛΑΜΑΡΙΑ,348840,302630,349260,344840,383000,377920,317500,311300,374100,432060,377560,385410,4304420,2018.0
ΚΑΛΑΜΑΡΙΑ,344460,286390,349970,297460,376570,185840,307200,285020,364710,382590,366500,346120,3892830,2017.0
ΚΑΛΑΜΑΡΙΑ,322770,326300,332090,332160,358310,338040,289800,293350,401350,372820,337490,333640,4038120,2016.0
ΚΑΛΑΜΑΡΙΑ,348520,312520,364880,342690,365660,406550,308450,284530,410870,396910,369940,371340,4282860,2015.0
ΚΑΛΑΜΑΡΙΑ,350760,306640,356450,331380,388860,388370,345880,285970,450880,414600,414600,426140,4460530,2014.0
