ΕΙΣΕΡΧΟΜΕΝΑ ΑΝΑΚΥΚΛΩΣΙΜΑ ΥΛΙΚΑ ΣΤΟ ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΘΕΡΜΗΣ 2024 - 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Ιαν-24,Φεβ-24,Μαρ-24,Απρ-24,Μαϊ-24,Ιουν-24,Ιουλ-24,Αυγ-24,Σεπ-24,Οκτ-24,Νοε-24,Δεκ-24,2024
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,380140,326620,312140,346680,324400,,,,,,,,1689980
,Ιαν-23,Φεβ-23,Μαρ-23,Απρ-23,Μαϊ-23,Ιουν-23,Ιουλ-23,Αυγ-23,Σεπ-23,Οκτ-23,Νοε-23,Δεκ-23,2023
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,358810,279380,359620,328560,378980,390500,333040,331340,389080,388430,388430,358670,4284840
,Ιαν-22,Φεβ-22,Μαρ-22,Απρ-22,Μαϊ-22,Ιουν-22,Ιουλ-22,Αυγ-22,Σεπ-22,Οκτ-22,Νοε-22,Δεκ-22,2022
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,340830,300620,342320,338600,358340,375080,319020,305160,385160,382860,353760,352500,4154250
,Ιαν-21,Φεβ-21,Μαρ-21,Απρ-21,Μαϊ-21,Ιουν-21,Ιουλ-21,Αυγ-21,Σεπ-21,Οκτ-21,Νοε-21,Δεκ-21,2021
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,337520,297120,332400,331680,370880,362140,349360,291260,401060,327850,313180,514360,4228810
,Ιαν-20,Φεβ-20,Μαρ-20,Απρ-20,Μαϊ-20,Ιουν-20,Ιουλ-20,Αυγ-20,Σεπ-20,Οκτ-20,Νοε-20,Δεκ-20,2020
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,326820,303340,333500,344620,287540,335080,389240,283670,391240,385760,365100,359800,4105710
,Ιαν-19,Φεβ-19,Μαρ-19,Απρ-19,Μαϊ-19,Ιουν-19,Ιουλ-19,Αυγ-19,Σεπ-19,Οκτ-19,Νοε-19,Δεκ-19,2019
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,293780,255180,266320,315140,328630,289580,334980,264960,319220,355440,350200,376360,3749790
,Ιαν-18,Φεβ-18,Μαρ-18,Απρ-18,Μαϊ-18,Ιουν-18,Ιουλ-18,Αυγ-18,Σεπ-18,Οκτ-18,Νοε-18,Δεκ-18,2018
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,277300,225790,281880,278740,322450,321740,271420,253500,317300,323260,311900,295730,3481010
,Ιαν-17,Φεβ-17,Μαρ-17,Απρ-17,Μαϊ-17,Ιουν-17,Ιουλ-17,Αυγ-17,Σεπ-17,Οκτ-17,Νοε-17,Δεκ-17,2017
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,237680,209900,253220,225690,280200,233460,271300,224810,302690,289500,294380,273810,3096640
,Ιαν-16,Φεβ-16,Μαρ-16,Απρ-16,Μαϊ-16,Ιουν-16,Ιουλ-16,Αυγ-16,Σεπ-16,Οκτ-16,Νοε-16,Δεκ-16,2016
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,218290,214540,231470,238790,241000,244020,221700,197450,308620,265160,249150,240230,2870420
,Ιαν-15,Φεβ-15,Μαρ-15,Απρ-15,Μαϊ-15,Ιουν-15,Ιουλ-15,Αυγ-15,Σεπ-15,Οκτ-15,Νοε-15,Δεκ-15,2015
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,238750,204370,229710,250550,253690,282380,226630,203260,298690,273100,248130,256040,2965300
,Ιαν-14,Φεβ-14,Μαρ-14,Απρ-14,Μαϊ-14,Ιουν-14,Ιουλ-14,Αυγ-14,Σεπ-14,Οκτ-14,Νοε-14,Δεκ-14,2014
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,224840,196120,220750,225590,257450,251500,235970,189470,312840,284410,228410,268530,2895880
