ΕΙΣΕΡΧΟΜΕΝΑ ΑΝΑΚΥΚΛΩΣΙΜΑ ΥΛΙΚΑ ΣΤΟ ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ 2014-2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,Ιαν,Φεβ,Μαρ,Απρ,Μαϊ,Ιουν,Ιουλ,Αυγ,Σεπ,Οκτ,Νοε,Δεκ,sum,
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,380140,326620,312140,346680,324400,,,,,,,,1689980,2024.0
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,358810,279380,359620,328560,378980,390500,333040,331340,389080,388430,388430,358670,4284840,2023.0
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,340830,300620,342320,338600,358340,375080,319020,305160,385160,382860,353760,352500,4154250,2022.0
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,337520,297120,332400,331680,370880,362140,349360,291260,401060,327850,313180,514360,4228810,2021.0
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,326820,303340,333500,344620,287540,335080,389240,283670,391240,385760,365100,359800,4105710,2020.0
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,293780,255180,266320,315140,328630,289580,334980,264960,319220,355440,350200,376360,3749790,2019.0
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,277300,225790,281880,278740,322450,321740,271420,253500,317300,323260,311900,295730,3481010,2018.0
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,237680,209900,253220,225690,280200,233460,271300,224810,302690,289500,294380,273810,3096640,2017.0
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,218290,214540,231470,238790,241000,244020,221700,197450,308620,265160,249150,240230,2870420,2016.0
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,238750,204370,229710,250550,253690,282380,226630,203260,298690,273100,248130,256040,2965300,2015.0
ΠΥΛΑΙΑ-ΧΟΡΤΙΑΤΗΣ,224840,196120,220750,225590,257450,251500,235970,189470,312840,284410,228410,268530,2895880,2014.0
