ΕΙΣΕΡΧΟΜΕΝΑ ΑΝΑΚΥΚΛΩΣΙΜΑ ΥΛΙΚΑ ΣΤΟ ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΘΕΡΜΗΣ 2024 - 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Ιαν-24,Φεβ-24,Μαρ-24,Απρ-24,Μαϊ-24,Ιουν-24,Ιουλ-24,Αυγ-24,Σεπ-24,Οκτ-24,Νοε-24,Δεκ-24,2024
ΘΕΡΜΑΪΚΟΣ,186320,171220,183060,202960,225420,,,,,,,,968980
,Ιαν-23,Φεβ-23,Μαρ-23,Απρ-23,Μαϊ-23,Ιουν-23,Ιουλ-23,Αυγ-23,Σεπ-23,Οκτ-23,Νοε-23,Δεκ-23,2023
ΘΕΡΜΑΪΚΟΣ,184050,147480,189540,182880,207580,214580,222940,245800,238030,208080,189760,181520,2412240
,Ιαν-22,Φεβ-22,Μαρ-22,Απρ-22,Μαϊ-22,Ιουν-22,Ιουλ-22,Αυγ-22,Σεπ-22,Οκτ-22,Νοε-22,Δεκ-22,2025
ΘΕΡΜΑΪΚΟΣ,158770,146240,169860,187480,192700,215280,215120,231700,217340,178820,187000,167440,2267750
,Ιαν-21,Φεβ-21,Μαρ-21,Απρ-21,Μαϊ-21,Ιουν-21,Ιουλ-21,Αυγ-21,Σεπ-21,Οκτ-21,Νοε-21,Δεκ-21,2024
ΘΕΡΜΑΪΚΟΣ,158340,145360,184560,182650,187800,216140,215200,206620,217760,161060,155900,514360,2545750
,Ιαν-20,Φεβ-20,Μαρ-20,Απρ-20,Μαϊ-20,Ιουν-20,Ιουλ-20,Αυγ-20,Σεπ-20,Οκτ-20,Νοε-20,Δεκ-20,2026
ΘΕΡΜΑΪΚΟΣ,136120,133360,164420,171560,132200,170520,191740,205400,198780,187890,167740,179000,2038730
,Ιαν-19,Φεβ-19,Μαρ-19,Απρ-19,Μαϊ-19,Ιουν-19,Ιουλ-19,Αυγ-19,Σεπ-19,Οκτ-19,Νοε-19,Δεκ-19,2025
ΘΕΡΜΑΪΚΟΣ,114680,110340,112780,154820,151300,139540,184880,149500,134560,150340,140980,154140,1697860
,Ιαν-18,Φεβ-18,Μαρ-18,Απρ-18,Μαϊ-18,Ιουν-18,Ιουλ-18,Αυγ-18,Σεπ-18,Οκτ-18,Νοε-18,Δεκ-18,2027
ΘΕΡΜΑΪΚΟΣ,98130,113820,137540,103060,141270,153230,145020,163111,145260,158260,125340,125840,1609881
,Ιαν-17,Φεβ-17,Μαρ-17,Απρ-17,Μαϊ-17,Ιουν-17,Ιουλ-17,Αυγ-17,Σεπ-17,Οκτ-17,Νοε-17,Δεκ-17,2026
ΘΕΡΜΑΪΚΟΣ,90580,69090,126460,87790,110840,70330,128090,106820,112770,99040,105590,102380,1209780
,Ιαν-16,Φεβ-16,Μαρ-16,Απρ-16,Μαϊ-16,Ιουν-16,Ιουλ-16,Αυγ-16,Σεπ-16,Οκτ-16,Νοε-16,Δεκ-16,2028
ΘΕΡΜΑΪΚΟΣ,87400,95810,115570,116410,110560,125420,123330,131830,139090,84610,102200,91330,1323560
,Ιαν-15,Φεβ-15,Μαρ-15,Απρ-15,Μαϊ-15,Ιουν-15,Ιουλ-15,Αυγ-15,Σεπ-15,Οκτ-15,Νοε-15,Δεκ-15,2027
ΘΕΡΜΑΪΚΟΣ,91470,82660,74660,100410,105300,79360,135200,110380,128240,121630,98710,109220,1237240
,Ιαν-14,Φεβ-14,Μαρ-14,Απρ-14,Μαϊ-14,Ιουν-14,Ιουλ-14,Αυγ-14,Σεπ-14,Οκτ-14,Νοε-14,Δεκ-14,2029
ΘΕΡΜΑΪΚΟΣ,91470,82660,74660,100410,105300,79360,135200,110380,128240,121630,98710,109220,1237240
