ΕΙΣΕΡΧΟΜΕΝΑ ΑΝΑΚΥΚΛΩΣΙΜΑ ΥΛΙΚΑ ΣΤΟ ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΚΑΛΑΜΑΡΙΑΣ 2014-2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,Ιαν,Φεβ,Μαρ,Απρ,Μαϊ,Ιουν,Ιουλ,Αυγ,Σεπ,Οκτ,Νοε,Δεκ,sum,YEAR
ΘΕΡΜΑΪΚΟΣ,186320,171220,183060,202960,225420,,,,,,,,968980,2024
ΘΕΡΜΑΪΚΟΣ,184050,147480,189540,182880,207580,214580,222940,245800,238030,208080,189760,181520,2412240,2023
ΘΕΡΜΑΪΚΟΣ,158770,146240,169860,187480,192700,215280,215120,231700,217340,178820,187000,167440,2267750,2022
ΘΕΡΜΑΪΚΟΣ,158340,145360,184560,182650,187800,216140,215200,206620,217760,161060,155900,514360,2545750,2021
ΘΕΡΜΑΪΚΟΣ,136120,133360,164420,171560,132200,170520,191740,205400,198780,187890,167740,179000,2038730,2020
ΘΕΡΜΑΪΚΟΣ,114680,110340,112780,154820,151300,139540,184880,149500,134560,150340,140980,154140,1697860,2019
ΘΕΡΜΑΪΚΟΣ,98130,113820,137540,103060,141270,153230,145020,163111,145260,158260,125340,125840,1609881,2018
ΘΕΡΜΑΪΚΟΣ,90580,69090,126460,87790,110840,70330,128090,106820,112770,99040,105590,102380,1209780,2017
ΘΕΡΜΑΪΚΟΣ,87400,95810,115570,116410,110560,125420,123330,131830,139090,84610,102200,91330,1323560,2016
ΘΕΡΜΑΪΚΟΣ,91470,82660,74660,100410,105300,79360,135200,110380,128240,121630,98710,109220,1237240,2015
ΘΕΡΜΑΪΚΟΣ,91470,82660,74660,100410,105300,79360,135200,110380,128240,121630,98710,109220,1237240,2014
