ΕΙΣΕΡΧΟΜΕΝΑ ΑΝΑΚΥΚΛΩΣΙΜΑ ΥΛΙΚΑ ΣΤΟ ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΘΕΡΜΗΣ 2024 - 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Ιαν-24,Φεβ-24,Μαρ-24,Απρ-24,Μαϊ-24,Ιουν-24,Ιουλ-24,Αυγ-24,Σεπ-24,Οκτ-24,Νοε-24,Δεκ-24,2024
ΘΕΡΜΗ,324520,295500,292600,329180,323760,,,,,,,,1565560
,Ιαν-23,Φεβ-23,Μαρ-23,Απρ-23,Μαϊ-23,Ιουν-23,Ιουλ-23,Αυγ-23,Σεπ-23,Οκτ-23,Νοε-23,Δεκ-23,2023
ΘΕΡΜΗ,283720,229360,303680,281860,325700,357160,305800,302700,352430,337420,320120,302060,3702010
,Ιαν-22,Φεβ-22,Μαρ-22,Απρ-22,Μαϊ-22,Ιουν-22,Ιουλ-22,Αυγ-22,Σεπ-22,Οκτ-22,Νοε-22,Δεκ-22,2022
ΘΕΡΜΗ,264760,251940,285420,281640,310820,325820,296260,295240,342960,296920,295770,289480,3537030
,Ιαν-21,Φεβ-21,Μαρ-21,Απρ-21,Μαϊ-21,Ιουν-21,Ιουλ-21,Αυγ-21,Σεπ-21,Οκτ-21,Νοε-21,Δεκ-21,2021
ΘΕΡΜΗ,266160,253560,276600,289420,307980,313240,303860,231820,363630,258210,352060,315550,3532090
,Ιαν-20,Φεβ-20,Μαρ-20,Απρ-20,Μαϊ-20,Ιουν-20,Ιουλ-20,Αυγ-20,Σεπ-20,Οκτ-20,Νοε-20,Δεκ-20,2020
ΘΕΡΜΗ,283320,254300,301240,302100,297860,337490,303860,256900,350090,312520,307790,304280,3611750
,Ιαν-19,Φεβ-19,Μαρ-19,Απρ-19,Μαϊ-19,Ιουν-19,Ιουλ-19,Αυγ-19,Σεπ-19,Οκτ-19,Νοε-19,Δεκ-19,2019
ΘΕΡΜΗ,261420,228940,251860,281920,309420,293840,334500,266640,295220,343720,300460,307540,3475480
,Ιαν-18,Φεβ-18,Μαρ-18,Απρ-18,Μαϊ-18,Ιουν-18,Ιουλ-18,Αυγ-18,Σεπ-18,Οκτ-18,Νοε-18,Δεκ-18,2018
ΘΕΡΜΗ,251080,207400,251240,253060,292840,288760,263140,276120,283340,305300,268660,244780,3185720
,Ιαν-17,Φεβ-17,Μαρ-17,Απρ-17,Μαϊ-17,Ιουν-17,Ιουλ-17,Αυγ-17,Σεπ-17,Οκτ-17,Νοε-17,Δεκ-17,2017
ΘΕΡΜΗ,223500,205980,255890,228200,285390,273780,251910,237340,276130,264860,261090,227310,2991380
,Ιαν-16,Φεβ-16,Μαρ-16,Απρ-16,Μαϊ-16,Ιουν-16,Ιουλ-16,Αυγ-16,Σεπ-16,Οκτ-16,Νοε-16,Δεκ-16,2016
ΘΕΡΜΗ,214790,214790,241810,249750,253470,265790,243630,242810,295970,257360,250320,236370,2966860
,Ιαν-15,Φεβ-15,Μαρ-15,Απρ-15,Μαϊ-15,Ιουν-15,Ιουλ-15,Αυγ-15,Σεπ-15,Οκτ-15,Νοε-15,Δεκ-15,2015
ΘΕΡΜΗ,235090,208680,240580,258130,253770,296810,248640,227800,309240,268120,249730,248720,3045310
,Ιαν-14,Φεβ-14,Μαρ-14,Απρ-14,Μαϊ-14,Ιουν-14,Ιουλ-14,Αυγ-14,Σεπ-14,Οκτ-14,Νοε-14,Δεκ-14,2014
ΘΕΡΜΗ,222720,196990,215140,248890,265460,267640,280520,250800,308590,266780,230480,264700,3018710
